,Tweet,Result Prediction,text_preprocessed
24,Sbt! Ada yg pernah daftar dabis gak? Sender nyoba daftar tp gagal berkali2 kaya gini;( https://t.co/pgZarIItmZ,Neutral,"['sbt', 'daftar', 'dabi', 'sender', 'mencoba', 'daftar', 'gagal', 'berkali', 'kayak']"
25,"@zarnaout45 @beh1ndyouu Hai @Dennysiregar7 mana Congor mu, gak ngomong Ganjar 2 periode apa yg kamu perbuat ? Kamu gagal kenapa gak mundur saja ‼️

Video ini 👇tahun berapa ? Udah ngaku gagal waktu itu,sampai sekarang gak ada perubahan, emang nonton doang selama ini ‼️ https://t.co/ymU2cK0AlZ",Neutral,"['hai', 'congor', 'mu', 'mengomong', 'ganjar', 'period', 'perbuat', 'gagal', 'mundur', 'video', 'mengaku', 'gagal', 'itusampai', 'perubahan', 'menonton', 'doang']"
26,@SaidAgils @chastita_s @AREAJULID banyakan yg gagal ka hehe,Neutral,"['si', 'banyakan', 'gagal', 'kak', 'hehe']"
27,"@ruangtulisku Apaansi, emg diganti juga judulnya? 🤣",Neutral,"['apaansi', 'diganti', 'judulnya']"
28,Mereka itu fans mbanya atau shipper gagal move on ya? Padahal bisa tuh hype drama mbanya tanpa nyenggol2 🙄,Positive,"['fan', 'mbaknya', 'shipper', 'gagal', 'move', 'on', 'ya', 'tuh', 'hype', 'drama', 'mbaknya', 'nyenggol']"
29,"Opening conan gk ada yg gagal, enak semua anjir gue mo nangis 😭😭",Neutral,"['open', 'conan', 'gagal', 'enak', 'anjir', 'gue', 'menangi']"
30,Susah si ngomong sama orang GAGAL PAHAM. KRITIK dibilang SIRIK. PEDULI di bilang BENCI. MENGINFORMASIKAN di bilang SOK TAU.,Negative,"['susah', 'sih', 'mengomong', 'orang', 'gagal', 'paham', 'kritik', 'dibilang', 'sirik', 'peduli', 'bilang', 'benci', 'menginformasikan', 'bilang', 'sok', 'tau']"
31,"Rapor skuad Chelsea usai gagal menang lawan Nottingham Forest: Thiago Silva cemerlang, Havertz mending duduk di bangku cadangan aja!
https://t.co/Ld5bDYKin2",Neutral,"['rapor', 'skuad', 'chelsea', 'gagal', 'menang', 'lawan', 'nottingham', 'forest', 'thiago', 'silva', 'cemerlang', 'havertz', 'mend', 'duduk', 'bangku', 'cadangan']"
32,"247 pengungkapan Teroris dr berbagai klp oleh Polri, matinya klp MIT, turunnya pelaku teror sebanyak 32% dr th sebelumnya, ini langkah luar biasa pemerintah, namun masih banyak PR. Mari kita dukung bersama.",Positive,"['pengungkapan', 'terori', 'klp', 'polri', 'matinya', 'klp', 'mit', 'turunnya', 'pelaku', 'teror', 'langkah', 'pemerintah', 'pr', 'mari', 'dukung']"
33,@nctzenbase ini sih yg agak gagal 🥲☝🏻 https://t.co/XpVHC6mo8K,Neutral,"['sih', 'gagal']"
34,90 Persen Orang Gagal Mencapai Resolusi Tahun Baru https://t.co/L7qeK4jh41,Neutral,"['persen', 'orang', 'gagal', 'mencapai', 'resolusi']"
35,@redzuanNewsMPB @anwaribrahim @saifnasution @Zaliha_DrZ  tolongla jangan jd kerajaan gagal! Close border please!,Neutral,"['drz', 'tolongla', 'kerajaan', 'gagal', 'close', 'border', 'pleas']"
36,"Rapor Skuad Chelsea Usai Gagal Menang Lawan Forest: Banyak yang B Aja, Koulibaly &amp; Havertz Mending Cadangan https://t.co/P04a8fsAwU (via @Bolanet) https://t.co/zRGUMqisKo",Neutral,"['rapor', 'skuad', 'chelsea', 'gagal', 'menang', 'lawan', 'forest', 'b', 'koulibali', 'amp', 'havertz', 'mend', 'cadangan', 'via']"
37,"Rasa minder adalah penyelamat bagi anak muda yang aslinya hebat, agar dia tidak sombong lalu cepat gagal",Neutral,"['minder', 'penyelamat', 'anak', 'muda', 'aslinya', 'hebat', 'sombong', 'cepat', 'gagal']"
38,@ilhamdulilah_ @17karisa Gagal nonton shokom 👉🤣,Neutral,"['gagal', 'menonton', 'shokom']"
39,"Doa kita bersama, mari aminkan!!

Semoga 2023 tidak ada lg aksi teror BOM.
Para Napiter ikrar sumpah setia kembali ke NKRI.
POLRI berantas habis klp2 teroris spt MIT Poso.
Inpres pelarangan paham Wahabi Salafi segera terbit. https://t.co/PYemu7nt89",Positive,"['doa', 'mari', 'aminkan', 'semoga', 'aksi', 'teror', 'bom', 'napit', 'ikrar', 'sumpah', 'setia', 'nkri', 'polri', 'beranta', 'habi', 'klp', 'terori', 'mit', 'poso', 'inpr', 'pelarangan', 'paham', 'wahabi', 'salafi', 'terbit']"
40,"Ngegym, Potret Sylvia Genpati Angkat Beban Bikin Gagal Fokus!",Neutral,"['ngegym', 'potret', 'sylvia', 'genpati', 'angkat', 'beban', 'bikin', 'gagal', 'foku']"
41,"Orang2 sukses mencari kesempatanuntuk menolong sesama, orang2 gagal mencari kesuksesan untuk diri sendiri",Neutral,"['orang', 'suks', 'mencari', 'kesempatanuntuk', 'menolong', 'orang', 'gagal', 'mencari', 'kesuksesan']"
42,"Ketika vaksin covid diluncurkan,
apa yang dijanjikan kepada kita ; 
aman, efektif, halal, hidup normal
dan pandemi usai.

Apa yang kita dapat ;
vaksin memicu penyakit, cidera dan kematian, vaksin gagal lebih banyak suntikan, aktivitas bergantung toxic terhubung App, Kezaliman! https://t.co/zaNwnypelQ",Neutral,"['vaksin', 'covid', 'diluncurkan', 'dijanjikan', 'aman', 'efektif', 'halal', 'hidup', 'normal', 'pandemi', 'vaksin', 'memicu', 'penyakit', 'cidera', 'kematian', 'vaksin', 'gagal', 'suntikan', 'aktivita', 'bergantung', 'toxic', 'terhubung', 'app', 'kezaliman']"
43,"Tentara gagal, mau jadi Cawapres?  https://t.co/eGoxadBf5h #AHYpolitikusGagal",Neutral,"['tentara', 'gagal', 'cawapr']"
44,"Tentara gagal, mau jadi Cawapres?  https://t.co/zLzQs0leZv #AHYpolitikusGagal",Neutral,"['tentara', 'gagal', 'cawapr']"
45,lucas enembe banyak bicara gagal dalam bekerja. https://t.co/cZvRk0pPGq ##AniesNasdemOut #Sidikalang,Neutral,"['luca', 'enemb', 'bicara', 'gagal']"
46,"@SaidAgils @chastita_s @AREAJULID Sorry to say, banyakan yg gagal, meskipun tidak jalur cerai tetap saja keluarga itu udah ga sehat, ga sesuai fungsi dan masih banyak masalah komplek lainnya 😌",Positive,"['si', 'sorri', 'sayang', 'banyakan', 'gagal', 'jalur', 'cerai', 'keluarga', 'sehat', 'sesuai', 'fungsi', 'komplek']"
47,"Gagal jantung adalah penyebab kematian ketiga terbesar di dunia, sedang yang terbanyak pertama adalah gagal nembak.

*Problem mblo ?*",Neutral,"['gagal', 'jantung', 'penyebab', 'kematian', 'ketiga', 'terbesar', 'dunia', 'gagal', 'menembak', 'problem', 'jomblo']"
48,@Husen_Jafar Takut gagal Istiqomah di semua hal baik,Neutral,"['jafar', 'takut', 'gagal', 'istikamah']"
49,"@501Awani Inilah Kelantan kerajaan Pas yg jadi pusat maksiat, HIV, AIDS dan sebagainya. 

Kerajaan negeri yang gagal mendidik rakyat dgn Islam.",Positive,"['kelantan', 'kerajaan', 'pa', 'pusat', 'maksiat', 'hiv', 'aid', 'kerajaan', 'negeri', 'gagal', 'mendidik', 'rakyat', 'islam']"
50,Jangan ada yang gagal paham lagi 😁💪 https://t.co/EQLjEoOaLN,Neutral,"['gagal', 'paham']"
51,"@ruhutsitompul Gagal jilat pleciden, eh cekalang jilat ketum, moggo mau jilat yg mana hut 🤣🤣 🤟🤟",Neutral,"['gagal', 'jilat', 'pleciden', 'eh', 'cekalang', 'jilat', 'ketum', 'moggo', 'jilat', 'hut']"
52,"""Gagal dalam sebuah pertempuran akan lebih ksatria,daripada gagal sebelum sempat menarik pedang""",Neutral,"['gagal', 'pertempuran', 'ksatriadaripada', 'gagal', 'menarik', 'pedang']"
53,Ada kalanya seseorang itu jenuh sama yang namanya cinta-cintaan. Masalahnya karena udah nyoba beberapa kali tapi gagal terus.,Neutral,"['kalanya', 'jenuh', 'namanya', 'cintacintaan', 'mencoba', 'kali', 'gagal']"
54,"@TakPrihatinLagi Alhamdulillah sehat
Wih bener tuh Om sy setuju pake banget jd sy ralat kita semua orang2 sukses..sukses melewati jalan maut &amp; masih hidup walau gagal melangkah/masuk ke lobang yg sama😁
Niat twitan itu sy bosen gegara fiksimini msh hibernasi twitterland kurang greget absurbnya🙄",Positive,"['alhamdulillah', 'sehat', 'wih', 'tuh', 'om', 'setuju', 'pakai', 'banget', 'ralat', 'orang', 'suksessuks', 'melewati', 'jalan', 'maut', 'amp', 'hidup', 'gagal', 'melangkahmasuk', 'lobang', 'niat', 'twitan', 'bosan', 'gegara', 'fiksimini', 'hibernasi', 'twitterland', 'greget', 'absurbnya']"
55,"Gagal itu biasa, tapi kegagalan yg sesungguhnya adalah saat kita menyerah dan berhenti mencoba",Neutral,"['gagal', 'kegagalan', 'sesungguhnya', 'menyerah', 'berhenti', 'mencoba']"
56,curly-haired nunu gapernah gagal menggetarkan hati gue,Neutral,"['curlyhair', 'nunu', 'gagal', 'menggetarkan', 'hati', 'gue']"
57,"Cara untuk melakukan Premediatio Malurum pada penyusunan resolusi Tahun Baru adalah dengan mempeetimbangkan kemungkinan terburuk yang berpotensi terjadi tentang hal-hal di dalam diri, misalnya “saya bisa gagal pada ujian A, maka dari itu saya harus ….”",Neutral,"['premediatio', 'malurum', 'penyusunan', 'resolusi', 'mempeetimbangkan', 'terburuk', 'berpotensi', 'halhal', 'gagal', 'ujian', 'a']"
58,".. Ini lewat Selatan banyak berhentinya.

Tujuan naik Argo Bromo Anggrek adalah agar sampai Gambir hanya 8 jam 10 menit. Tapi dengan pengalihan rute ini, tujuan tsb gagal tercapai.

Sudah diberikan kompensasi. But my office won’t 😭 Pembukaan ngantor di 2023 yg menyedihkan. https://t.co/iiUumkawlV",Neutral,"['selatan', 'berhentinya', 'tujuan', 'argo', 'bromo', 'anggrek', 'gambir', 'jam', 'menit', 'pengalihan', 'rute', 'tujuan', 'gagal', 'tercapai', 'kompensasi', 'but', 'my', 'offic', 'wont', 'pembukaan', 'ngantor', 'menyedihkan']"
59,"Gagal dalam kemuliaan adalah lebih baik, daripada menang dalam kehinaan dan kecurangan.",Neutral,"['gagal', 'kemuliaan', 'menang', 'kehinaan', 'kecurangan']"
60,"Aku kayanya gagal jadi penulis Novel deh, soalnya dari tadi aku nulis, yang tertulis cuma nama kamu aja",Neutral,"['kayanya', 'gagal', 'penuli', 'novel', 'deh', 'menuli', 'tertuli', 'nama']"
61,"""Tidak peduli betapa kuatnya dirimu, jangan pernah mengatasi semuanya sendirian, Sebaliknya kau pasti akan gagal."" (Itachi uchiha) #Bot",Neutral,"['peduli', 'betapa', 'kuatnya', 'dirimu', 'mengatasi', 'kau', 'gagal', 'itachi', 'uchiha']"
62,@sanapotter97 Ini mah jatohnya kek chicken pok pok ga siih 😭,Neutral,"['mah', 'jatohnya', 'kayak', 'chicken', 'pok', 'pok', 'sih']"
63,"Kadang udah ngerti bakalan sakit sama ekspektasi diri sendiri tp kok gak kapok kapok aja sih.. gapaham bgt, selalu gagal untuk gak nyelipin sedikit harapan buat dia lg",Negative,"['kadang', 'mengerti', 'sakit', 'ekspektasi', 'kapok', 'kapok', 'sih', 'gapaham', 'banget', 'gagal', 'nyelipin', 'harapan']"
64,"@Tohid_siswanto @aniesbaswedan @feryfarhati Koalisi batal, nyapres pun gagal.",Neutral,"['siswanto', 'koalisi', 'batal', 'nyapr', 'gagal']"
65,"""Tidak perlu terburu-buru, walau kamu gagal hari ini, kan masih ada hari esok."" -Yura (Futari Ecchi) #EvilBot",Neutral,"['terburuburu', 'gagal', 'esok', 'yura', 'futari', 'ecchi']"
66,"@riatozakies Tenang, ga usah panik Kak Ria. Kalo nomornya udah direaktivasi namun ga bisa cek pulsa, yuk kasih tau dulu no HP, tgl kejadian dan capture ket gagal via DM biar Hanna bantu. Makasih 😊 -Hanna",Positive,"['tenang', 'panik', 'kak', 'ria', 'kalo', 'nomornya', 'direaktivasi', 'cek', 'pulsa', 'yuk', 'kasih', 'tau', 'no', 'hp', 'tanggal', 'kejadian', 'captur', 'ket', 'gagal', 'via', 'dm', 'biar', 'hanna', 'bantu', 'terima', 'kasih', 'hanna']"
67,"AHY tidak pantas terjun politik, terbukti gagal total #AHYAsalBicara  https://t.co/RljXg0P1BQ",Neutral,"['ahi', 'terjun', 'politik', 'terbukti', 'gagal', 'total']"
68,"Karena ga nyiapin barang² dari semalem, gagal ke GBK pagi ini.
Ditambah perut lagi mules banget 🙄",Neutral,"['nyiapin', 'barang', 'semalem', 'gagal', 'gbk', 'pagi', 'ditambah', 'perut', 'mule', 'banget']"
69,"Manusia yang berjaya adalah manusia yang pernah gagal, Manusia yang gagal adalah manusia yang pernah berjaya.",Positive,"['manusia', 'berjaya', 'manusia', 'gagal', 'manusia', 'gagal', 'manusia', 'berjaya']"
70,coy kok isi pulsa di dana gagal trs di refund mulu napa dah 😭,Neutral,"['coy', 'isi', 'pulsa', 'dana', 'gagal', 'refund', 'mulu', 'deh']"
71,"Yang paling merisaukan PN ialah PMX sentiasa walk the talk, sembang &amp; bikin.

Walau sukar &amp; Kena pertikai, tetap cari jalan utk dilaksanakan.

Sesuatu yang Kerajaan Gagal tak pernah dpt capai or akan capai.

PN Kerajaan Capal. https://t.co/ENBl8lH2vU",Neutral,"['merisaukan', 'pn', 'pmx', 'sentiasa', 'walk', 'the', 'talk', 'sembang', 'amp', 'bikin', 'sukar', 'amp', 'kena', 'pertikai', 'cari', 'jalan', 'dilaksanakan', 'kerajaan', 'gagal', 'capai', 'orang', 'capai', 'pn', 'kerajaan', 'capal']"
72,"@BPJSTKinfo min kenapa ya saya tiap mau verifikasi biometrik notifnya selalu ""anda sudah melakukan verifikasi sebanyak 3x"" padahal baru mau coba klaim bpjs sekarang setelah gagal coba sekitar 3-4bln lalu",Positive,"['min', 'ya', 'verifikasi', 'biometrik', 'notifnya', 'verifikasi', 'kali', 'coba', 'klaim', 'bpj', 'gagal', 'coba']"
73,Udh curiga film jadul Bayi Ajaib itu sebenernya bagus klo segi cerita. Makannya itu jadi pertinbangan produser sekarang buat remake,Neutral,"['curiga', 'film', 'jadul', 'bayi', 'ajaib', 'bagu', 'kalo', 'segi', 'cerita', 'makannya', 'pertinbangan', 'produs', 'remak']"
75,"@tanyarlfes dulu kata tmnku yg cwo emg gitu, kbnykn cwo klo lg pdkt ga cm ke satu sasaran jd klo misal ke yg satu gagal masih bs ke opsi dua, tiga, dst *gatau ya soalnya cm kata tmnku yg kebetulan cwo",Neutral,"['tmnku', 'cowok', 'kbnykn', 'cowok', 'kalo', 'pdkt', 'sasaran', 'kalo', 'gagal', 'opsi', 'dst', 'tau', 'ya', 'tmnku', 'cowok']"
76,@Paltiwest Tentunya capres gagal jg bro,Neutral,"['capr', 'gagal', 'bro']"
77,@mkini_bm Kerajaan gagal 2.0 coming soon https://t.co/eDHAHxnX5d,Neutral,"['bm', 'kerajaan', 'gagal', 'come', 'soon']"
78,@plumgorjes Ini nii yg bikin gagal move on ❤️‍🩹 haha,Neutral,"['bikin', 'gagal', 'move', 'on', 'haha']"
79,"@Mdy_Asmara1701 Ini jurkam P @aniesbaswedan saat pilgub DKI, yg skr balik kanan, tobat. Dia ngakui program yg bagus cuma jaklingko doang. Berarti  program yg lainnya gagal. https://t.co/mP4RzJ6rPV",Neutral,"['asmara', 'jurkam', 'p', 'pilgub', 'dki', 'kanan', 'tobat', 'ngakui', 'program', 'bagu', 'jaklingko', 'doang', 'program', 'gagal']"
81,"Mencoba - Berhasil / Gagal.

Tidak Mencoba - Gagal.

#kupilihtukmencoba !! Bissmillahh ..",Neutral,"['mencoba', 'berhasil', 'gagal', 'mencoba', 'gagal', 'bissmillahh']"
82,"Kita sering berpikir negatif duluan. Takut gagal, takut ini, takut itu, padahal sebenarnya belum terjadi.",Neutral,"['berpikir', 'negatif', 'duluan', 'takut', 'gagal', 'takut', 'takut']"
83,Jangan Takut Gagal.,Neutral,"['takut', 'gagal']"
84,"@JagalCebong Maksudnya Januari 2023 rumah hadiah negara utk Jokowi presiden,dibangun di IKN?Mungkin peletakan batu pertama itu di bln Januari.
Baguslah...presden memberi contoh yg baik, agar rakyat mematuhi anjurannya utk mau pindah ke IKN.
Atau jgn2 presdn sdh memprediksi bhw IKN gagal.🤣🤣",Neutral,"['maksudnya', 'januari', 'rumah', 'hadiah', 'negara', 'jokowi', 'presidendibangun', 'iknmungkin', 'peletakan', 'batu', 'januari', 'baguslahpresden', 'contoh', 'rakyat', 'mematuhi', 'anjurannya', 'pindah', 'ikn', 'presdn', 'memprediksi', 'ikn', 'gagal']"
85,"@J4sukE_51 Indonesia jdi negara miskin krn pengelolaan yg gagal
#TahunBaruMerugi 
#TahunBaruMerugi",Neutral,"['indonesia', 'negara', 'miskin', 'pengelolaan', 'gagal']"
86,Guncangan hidup tidak akan bisa menggoyahkan orang dengan semangat yang membara oleh api antusiasme. Gagal / Sukses,Neutral,"['guncangan', 'hidup', 'menggoyahkan', 'orang', 'semangat', 'membara', 'api', 'antusiasm', 'gagal', 'suks']"
87,@mkini_bm kerajaan gagal..,Neutral,"['bm', 'kerajaan', 'gagal']"
88,"yumi gagal menang gara gara hilang fokus karna dia liat yubin, heli juga ini hilang fokus karna tiba tiba sooha ga ada di tribun, tapi gue gatau ini yang menang sunshine atau tetep decelis (tim gak pake koin ^^)",Neutral,"['yumi', 'gagal', 'menang', 'gara', 'gara', 'hilang', 'foku', 'lihat', 'yubin', 'heli', 'hilang', 'foku', 'sooha', 'tribun', 'gue', 'tau', 'menang', 'sunshin', 'dece', 'tim', 'pakai', 'koin']"
89,"@AsalBersamaMu @Hasan_2103 @yaziddech @_Resiana @boroboropergi @Joxplalong @TatangArifin20 bumi Nusantara subur
tapi dibuat miskin oleh rezim gagal
#TahunBaruMerugi 
#TahunBaruMerugi",Neutral,"['resiana', 'bumi', 'nusantara', 'subur', 'miskin', 'rezim', 'gagal']"
90,"@tanyarlfes Diih, emng kalo bukan dia yang jadi Bridesmaid kamu bakal gagal menikah kah? Ganti sama yg lain aja, ponakan/keluarga kan ada.",Neutral,"['diih', 'kalo', 'bridesmaid', 'gagal', 'menikah', 'kah', 'ganti', 'ponakankeluarga']"
91,Yah gagal 😂 https://t.co/5Z3HNGPt8b,Positive,"['ya', 'gagal']"
92,Rencana pertama di hari Senin gagal gara-gara banjir 🤣🤣,Neutral,"['rencana', 'senin', 'gagal', 'garagara', 'banjir']"
93,"Kita menyesal bila mimpi yang kita kejar akhirnya gagal, Tapi kita akan lebih menyesal bila kita tdk mencoba mengejarnya !!! -Hiruma Yoichi- (Eyeshield 21)",Neutral,"['menyes', 'mimpi', 'kejar', 'gagal', 'menyes', 'mencoba', 'mengejarnya', 'hiruma', 'yoichi', 'eyeshield']"
94,"Selain aku takut kehilanganmu, 
Aku juga takut ada seseorang yang lebih hebat mengambil perhatianmu...",Neutral,"['takut', 'kehilanganmu', 'takut', 'hebat', 'mengambil', 'perhatianmu']"
95,"Klo gagal jadi pria tampan, cobalah jadi pria lucu aja.. ^_^ #TipsBuatCowok",Neutral,"['kalo', 'gagal', 'pria', 'tampan', 'cobalah', 'pria', 'lucu']"
96,@riya_mama gagal karna apa bun,Neutral,"['mama', 'gagal', 'bun']"
97,"Jalan nya sama siapa. 
Mimpi innya siapa. 
Lah kok...☺ 
Tp di mimpi aja km mnta aku untuk move on. 
Lupa sih kta2 yg km chat . 
Intinya lupa in km kann ya . Hahahha
Okok. Aku lg berusaha kok 🌸. 
Semenjak aku tau ...... Aku udh mulai berusha untuk lupa. Ya walaupun gagal terus .",Neutral,"['jalan', 'nya', 'mimpi', 'innya', 'mimpi', 'move', 'on', 'lupa', 'sih', 'chat', 'intinya', 'lupa', 'ya', 'hahahha', 'okok', 'berusaha', 'semenjak', 'tau', 'berusha', 'lupa', 'ya', 'gagal']"
98,"@Lovesomatcha12 @tanyakanrl Selama 5 tahun, baru 4 kali mba??",Neutral,"['kali', 'mbak']"
99,"""Kau terlalu memandang tinggi diriku ...Pada  akhirnya, tetap saja aku gagal"" (Itachi to Kabuto)",Neutral,"['kau', 'memandang', 'diriku', 'gagal', 'itachi', 'kabuto']"
100,@AKkamsi @romeogadungan Gagal login 3x disuru nunggu sejam. Mati kering di RSUP,Neutral,"['gagal', 'login', 'kali', 'disuru', 'menunggu', 'sejam', 'mati', 'kere', 'rsup']"
101,"🔴Hai Pak Uban..‼️Masalah Bajir Saja Anda Gagal Tuntaskan, Gimana Mau Jadi Presiden, Ganjar Oh... Ganjar https://t.co/HkCncXrQEp",Positive,"['hai', 'ubanmasalah', 'bajir', 'gagal', 'tuntaskan', 'presiden', 'ganjar', 'oh', 'ganjar']"
102,"Hanya karena kamu pernah gagal, tak berarti kamu takut mencoba.  #KMutiara",Neutral,"['gagal', 'takut', 'mencoba']"
103,Hayoo siapa yang resolusi 2023 udah bau bau gagal ngakuoo,Neutral,"['hayoo', 'resolusi', 'bau', 'bau', 'gagal', 'ngakuoo']"
