,tweet,text_clean,clean2,text_preprocessed,sentiment,alt
10,"@democrazymedia Kalau disuruh pilih ganjar atau prabowo, aku pilih prabowo. Kalau disuruh pilih prabowo atau Anies, aku pilih Anies.","kalau disuruh pilih ganjar atau prabowo , aku pilih prabowo . kalau disuruh pilih prabowo atau anies , aku pilih anies .","kalau disuruh pilih ganjar atau prabowo ,  aku pilih prabowo .  kalau disuruh pilih prabowo atau anies ,  aku pilih anies .","['kalau', 'disuruh', 'pilih', 'ganjar', 'atau', 'prabowo', ',', 'aku', 'pilih', 'prabowo', '.', 'kalau', 'disuruh', 'pilih', 'prabowo', 'atau', 'anies', ',', 'aku', 'pilih', 'anies', '.']",Negative,Neutral
11,"@Aryprasetyo85 @DivHumas_Polri @03__nakula @adearmando61 @al_lasan @alextham878 @Anak__Ogi @B3doel___ @Arindra__ @ch_chotimah2 @FirzaHusainID @DM_N4BYL Ane se7 pelaku d tangkap,tpi ya jgn dhubung2kn dg pndukung anies,pak ganjar atau pak prabowo.orang kan bisa ngaku2.
Sory cuma nanya,klo pnghinaan ndak kah yg harus lapor orang yg brsangkutan bkn orang lain. Contohnya kasus pak luhut."," polri nakula lasan ogi chotimah nbyl ane se pelaku di tangkap , tapi ya jangan dhubungkn dengan pndukung anies , pak ganjar atau pak prabowo . orang kan bisa mengaku . sory cuma bertanya , kalo pnghinaan indak kah yang harus lapor orang yang brsangkutan bukan orang lain . contohnya kasus pak luhut .","_ polri  _  _ nakula   _ lasan   _  _ ogi  _  _  _   _  _   _ chotimah   _ nbyl ane se pelaku d tangkap , tpi ya jgn dhubungkn dg pndukung anies , pak ganjar atau pak prabowo . orang kan bisa ngaku .  sory cuma nanya , klo pnghinaan ndak kah yg harus lapor orang yg brsangkutan bkn orang lain .  contohnya kasus pak luhut .","['polri', 'nakula', 'lasan', 'ogi', 'chotimah', 'nbyl', 'ane', 'se', 'pelaku', 'di', 'tangkap', ',', 'tapi', 'ya', 'jangan', 'dhubungkn', 'dengan', 'pndukung', 'anies', ',', 'pak', 'ganjar', 'atau', 'pak', 'prabowo', '.', 'orang', 'kan', 'bisa', 'mengaku', '.', 'sory', 'cuma', 'bertanya', ',', 'kalo', 'pnghinaan', 'indak', 'kah', 'yang', 'harus', 'lapor', 'orang', 'yang', 'brsangkutan', 'bukan', 'orang', 'lain', '.', 'contohnya', 'kasus', 'pak', 'luhut', '.']",Negative,Negative
12,"@fieda_maranri Kalau disuruh pilih ganjar atau prabowo, aku pilih prabowo. Kalau disuruh pilih prabowo atau Anies, aku pilih Anies."," maranri kalau disuruh pilih ganjar atau prabowo , aku pilih prabowo . kalau disuruh pilih prabowo atau anies , aku pilih anies .","_ maranri kalau disuruh pilih ganjar atau prabowo ,  aku pilih prabowo .  kalau disuruh pilih prabowo atau anies ,  aku pilih anies .","['maranri', 'kalau', 'disuruh', 'pilih', 'ganjar', 'atau', 'prabowo', ',', 'aku', 'pilih', 'prabowo', '.', 'kalau', 'disuruh', 'pilih', 'prabowo', 'atau', 'anies', ',', 'aku', 'pilih', 'anies', '.']",Negative,Neutral
13,"Hasil survei SMRC terbaru: Ganjar teratas raih 35,9%, unggul atas Prabowo dan Anies #GanjarCapres https://t.co/lX9tBBwDU7","hasil survei smrc terbaru : ganjar teratas raih , % , unggul atas prabowo dan anies","hasil survei smrc terbaru :  ganjar teratas raih  ,  %  ,  unggul atas prabowo dan anies","['hasil', 'survei', 'smrc', 'terbaru', ':', 'ganjar', 'teratas', 'raih', ',', '%', ',', 'unggul', 'atas', 'prabowo', 'dan', 'anies']",Neutral,Neutral
14,"@HidayatNatari Ganjar dan Prabowo bersandar kepada Mega dan Jokowi, Anies bersandar kepada Allah Subhanallahwata'ala.","ganjar dan prabowo bersandar kepada mega dan jokowi , anies bersandar kepada allah subhanallahwata ' ala .","ganjar dan prabowo bersandar kepada mega dan jokowi ,  anies bersandar kepada allah subhanallahwata ' ala .","['ganjar', 'dan', 'prabowo', 'bersandar', 'kepada', 'mega', 'dan', 'jokowi', ',', 'anies', 'bersandar', 'kepada', 'allah', 'subhanallahwata', ""'"", 'ala', '.']",Negative,Neutral
15,"Di empat arena inilah, Prabowo Subianto, Ganjar dan Anies saling mengalahkan. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo","di empat arena inilah , prabowo subianto , ganjar dan anies saling mengalahkan . pilpres dekade mendingprabowo terusmajubersamaprabowo","di empat arena inilah ,  prabowo subianto ,  ganjar dan anies saling mengalahkan .  pilpres dekade mendingprabowo terusmajubersamaprabowo","['di', 'empat', 'arena', 'inilah', ',', 'prabowo', 'subianto', ',', 'ganjar', 'dan', 'anies', 'saling', 'mengalahkan', '.', 'pilpres', 'dekade', 'mendingprabowo', 'terusmajubersamaprabowo']",Neutral,Neutral
16,Survei Populi Center: Elektabilitas Prabowo Subianto Tertinggi Ungguli Anies dan Ganjar. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo,survei populi center : elektabilitas prabowo subianto tertinggi ungguli anies dan ganjar . pilpres dekade mendingprabowo terusmajubersamaprabowo,survei populi center :  elektabilitas prabowo subianto tertinggi ungguli anies dan ganjar .  pilpres dekade mendingprabowo terusmajubersamaprabowo,"['survei', 'populi', 'center', ':', 'elektabilitas', 'prabowo', 'subianto', 'tertinggi', 'ungguli', 'anies', 'dan', 'ganjar', '.', 'pilpres', 'dekade', 'mendingprabowo', 'terusmajubersamaprabowo']",Neutral,Neutral
17,"Survei Populi Center: Elektabilitas Prabowo Salip Ganjar, Tinggalkan Anies. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo","survei populi center : elektabilitas prabowo salip ganjar , tinggalkan anies . pilpres dekade mendingprabowo terusmajubersamaprabowo","survei populi center :  elektabilitas prabowo salip ganjar ,  tinggalkan anies .  pilpres dekade mendingprabowo terusmajubersamaprabowo","['survei', 'populi', 'center', ':', 'elektabilitas', 'prabowo', 'salip', 'ganjar', ',', 'tinggalkan', 'anies', '.', 'pilpres', 'dekade', 'mendingprabowo', 'terusmajubersamaprabowo']",Neutral,Neutral
18,"Di empat arena inilah, Prabowo Subianto, Ganjar Pranowo dan Anies saling mengalahkan. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo","di empat arena inilah , prabowo subianto , ganjar pranowo dan anies saling mengalahkan . pilpres dekade mendingprabowo terusmajubersamaprabowo","di empat arena inilah ,  prabowo subianto ,  ganjar pranowo dan anies saling mengalahkan .  pilpres dekade mendingprabowo terusmajubersamaprabowo","['di', 'empat', 'arena', 'inilah', ',', 'prabowo', 'subianto', ',', 'ganjar', 'pranowo', 'dan', 'anies', 'saling', 'mengalahkan', '.', 'pilpres', 'dekade', 'mendingprabowo', 'terusmajubersamaprabowo']",Neutral,Neutral
19,"Survei Populi Center: Elektabilitas Prabowo Subianto Salip Ganjar, Tinggalkan Anies. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo","survei populi center : elektabilitas prabowo subianto salip ganjar , tinggalkan anies . pilpres dekade mendingprabowo terusmajubersamaprabowo","survei populi center :  elektabilitas prabowo subianto salip ganjar ,  tinggalkan anies .  pilpres dekade mendingprabowo terusmajubersamaprabowo","['survei', 'populi', 'center', ':', 'elektabilitas', 'prabowo', 'subianto', 'salip', 'ganjar', ',', 'tinggalkan', 'anies', '.', 'pilpres', 'dekade', 'mendingprabowo', 'terusmajubersamaprabowo']",Neutral,Neutral
20,"@BennyHarmanID Pemilu 2024 , Anies vs ganjar jokowi vs prabowo jokowi 🤔","pemilu , anies vs ganjar jokowi vs prabowo jokowi thinkingface ","pemilu   ,  anies vs ganjar jokowi vs prabowo jokowi ","['pemilu', ',', 'anies', 'vs', 'ganjar', 'jokowi', 'vs', 'prabowo', 'jokowi', 'thinkingface']",Neutral,Neutral
21,"Peneliti Populi Center, mengatakan bahwa Prabowo Subianto mengungguli Anies dan Ganjar menjadi tokoh bacapres tahun 2024. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo","peneliti populi center , mengatakan bahwa prabowo subianto mengungguli anies dan ganjar menjadi tokoh bacapres tahun . pilpres dekade mendingprabowo terusmajubersamaprabowo","peneliti populi center ,  mengatakan bahwa prabowo subianto mengungguli anies dan ganjar menjadi tokoh bacapres tahun  .  pilpres dekade mendingprabowo terusmajubersamaprabowo","['peneliti', 'populi', 'center', ',', 'mengatakan', 'bahwa', 'prabowo', 'subianto', 'mengungguli', 'anies', 'dan', 'ganjar', 'menjadi', 'tokoh', 'bacapres', 'tahun', '.', 'pilpres', 'dekade', 'mendingprabowo', 'terusmajubersamaprabowo']",Neutral,Neutral
22,Survei Populi Center: Elektabilitas Prabowo Subianto Tertinggi Ungguli Anies dan Ganjar. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo,survei populi center : elektabilitas prabowo subianto tertinggi ungguli anies dan ganjar . pilpres dekade mendingprabowo terusmajubersamaprabowo,survei populi center :  elektabilitas prabowo subianto tertinggi ungguli anies dan ganjar .  pilpres dekade mendingprabowo terusmajubersamaprabowo,"['survei', 'populi', 'center', ':', 'elektabilitas', 'prabowo', 'subianto', 'tertinggi', 'ungguli', 'anies', 'dan', 'ganjar', '.', 'pilpres', 'dekade', 'mendingprabowo', 'terusmajubersamaprabowo']",Neutral,Neutral
23,"Survei Populi Center: Elektabilitas Prabowo Salip Ganjar, Tinggalkan Anies. pilpres2024 dekade08 mendingprabowo terusmajubersamaprabowo","survei populi center : elektabilitas prabowo salip ganjar , tinggalkan anies . pilpres dekade mendingprabowo terusmajubersamaprabowo","survei populi center :  elektabilitas prabowo salip ganjar ,  tinggalkan anies .  pilpres dekade mendingprabowo terusmajubersamaprabowo","['survei', 'populi', 'center', ':', 'elektabilitas', 'prabowo', 'salip', 'ganjar', ',', 'tinggalkan', 'anies', '.', 'pilpres', 'dekade', 'mendingprabowo', 'terusmajubersamaprabowo']",Neutral,Neutral
24,"Survei SMRC: Tren Elektabilitas Ganjar dan Prabowo Menanjak, Anies Masih di Posisi Tiga https://t.co/pWGo748qpt","survei smrc : tren elektabilitas ganjar dan prabowo menanjak , anies masih di posisi tiga","survei smrc :  tren elektabilitas ganjar dan prabowo menanjak ,  anies masih di posisi tiga","['survei', 'smrc', ':', 'tren', 'elektabilitas', 'ganjar', 'dan', 'prabowo', 'menanjak', ',', 'anies', 'masih', 'di', 'posisi', 'tiga']",Neutral,Neutral
25,Prabowo terlalu tua tuk mencapai level kepemimpinan pak jokowi..smntara anies..gak ush di hitung . pndkung nya bgtu mngerikan ktika pilkada DKI. Dan bangsa ini tdk akan prnh lupakan itu. Itu pilkada terburuk...hnya ganjar yg bsa kta harapkn tuk mlnjutkn kinerja hebat pak jokowi,prabowo terlalu tua untuk mencapai level kepemimpinan pak jokowi . . smntara anies . . enggak usah di hitung . pndkung nya begitu mngerikan ketika pilkada dki . dan bangsa ini tidak akan pernah lupakan itu . itu pilkada terburuk . . . hanya ganjar yang bisa kita harapkn untuk mlnjutkn kinerja hebat pak jokowi,prabowo terlalu tua tuk mencapai level kepemimpinan pak jokowi .  . smntara anies .  . gak ush di hitung  .  pndkung nya bgtu mngerikan ktika pilkada dki .  dan bangsa ini tdk akan prnh lupakan itu .  itu pilkada terburuk .  .  . hnya ganjar yg bsa kta harapkn tuk mlnjutkn kinerja hebat pak jokowi,"['prabowo', 'terlalu', 'tua', 'untuk', 'mencapai', 'level', 'kepemimpinan', 'pak', 'jokowi', '.', '.', 'smntara', 'anies', '.', '.', 'enggak', 'usah', 'di', 'hitung', '.', 'pndkung', 'nya', 'begitu', 'mngerikan', 'ketika', 'pilkada', 'dki', '.', 'dan', 'bangsa', 'ini', 'tidak', 'akan', 'pernah', 'lupakan', 'itu', '.', 'itu', 'pilkada', 'terburuk', '.', '.', '.', 'hanya', 'ganjar', 'yang', 'bisa', 'kita', 'harapkn', 'untuk', 'mlnjutkn', 'kinerja', 'hebat', 'pak', 'jokowi']",Positive,Neutral
26,"@mumungwisnu_1 @IMCMushroom Anies bukan pengusung khilafah, dia adalah pengusung otak cerdas. Prabowo bukan kroni cendana dia adalah korban politik atasan nya hingga dipecat. Ganjar bukan penerus Jokowi, dia adalah penerus PDIP."," anies bukan pengusung khilafah , dia adalah pengusung otak cerdas . prabowo bukan kroni cendana dia adalah korban politik atasan nya hingga dipecat . ganjar bukan penerus jokowi , dia adalah penerus pdip .","_   anies bukan pengusung khilafah ,  dia adalah pengusung otak cerdas .  prabowo bukan kroni cendana dia adalah korban politik atasan nya hingga dipecat .  ganjar bukan penerus jokowi ,  dia adalah penerus pdip .","['anies', 'bukan', 'pengusung', 'khilafah', ',', 'dia', 'adalah', 'pengusung', 'otak', 'cerdas', '.', 'prabowo', 'bukan', 'kroni', 'cendana', 'dia', 'adalah', 'korban', 'politik', 'atasan', 'nya', 'hingga', 'dipecat', '.', 'ganjar', 'bukan', 'penerus', 'jokowi', ',', 'dia', 'adalah', 'penerus', 'pdip', '.']",Negative,Neutral
27,"@Duren___ Kalau saya yang penting bukan anies aja, soal Ganjar atau prabowo tidak begitu saya pikirkan..

Yang kedua, parpol yang dukung pemilu proporsional tertutup maka wajib saya lawan akan kebijakan nya dan kader nya"," kalau saya yang penting bukan anies saja , soal ganjar atau prabowo tidak begitu saya pikirkan . . yang kedua , parpol yang dukung pemilu proporsional tertutup maka wajib saya lawan akan kebijakan nya dan kader nya","_  _  _  kalau saya yang penting bukan anies aja ,  soal ganjar atau prabowo tidak begitu saya pikirkan .  .   yang kedua ,  parpol yang dukung pemilu proporsional tertutup maka wajib saya lawan akan kebijakan nya dan kader nya","['kalau', 'saya', 'yang', 'penting', 'bukan', 'anies', 'saja', ',', 'soal', 'ganjar', 'atau', 'prabowo', 'tidak', 'begitu', 'saya', 'pikirkan', '.', '.', 'yang', 'kedua', ',', 'parpol', 'yang', 'dukung', 'pemilu', 'proporsional', 'tertutup', 'maka', 'wajib', 'saya', 'lawan', 'akan', 'kebijakan', 'nya', 'dan', 'kader', 'nya']",Negative,Neutral
28,"Survei terkini Populi Center memetakan akseptabilitas 3 bakal calon presiden Pemilu 2024 di mata publik. 

Prabowo dinilai sebagai sosok bakal capres yang paling tegas dan berwibawa. Sementara, Ganjar dianggap paling toleran dan Anies dinilai paling agamis. &lt; #Survei #Pilpres2024 https://t.co/Tia2mAIe3x","survei terkini populi center memetakan akseptabilitas bakal calon presiden pemilu di mata publik . prabowo dinilai sebagai sosok bakal capres yang paling tegas dan berwibawa . sementara , ganjar dianggap paling toleran dan anies dinilai paling agamis . & lantai ;","survei terkini populi center memetakan akseptabilitas  bakal calon presiden pemilu  di mata publik .    prabowo dinilai sebagai sosok bakal capres yang paling tegas dan berwibawa .  sementara ,  ganjar dianggap paling toleran dan anies dinilai paling agamis .   & lt ;","['survei', 'terkini', 'populi', 'center', 'memetakan', 'akseptabilitas', 'bakal', 'calon', 'presiden', 'pemilu', 'di', 'mata', 'publik', '.', 'prabowo', 'dinilai', 'sebagai', 'sosok', 'bakal', 'capres', 'yang', 'paling', 'tegas', 'dan', 'berwibawa', '.', 'sementara', ',', 'ganjar', 'dianggap', 'paling', 'toleran', 'dan', 'anies', 'dinilai', 'paling', 'agamis', '.', '&', 'lantai', ';']",Neutral,Neutral
29,"@Heraloebss Prabowo Ganjar, atau Ganjar Prabowo, cepet2 lah deklarasi, biar langsung lawang Anies, Pemilu cepet selesai, dan Anirs jadi Presiden. 😁","prabowo ganjar , atau ganjar prabowo , cepat lah deklarasi , biar langsung lawang anies , pemilu cepat selesai , dan anirs jadi presiden . beamingfacewithsmilingeyes ","prabowo ganjar ,  atau ganjar prabowo ,  cepet lah deklarasi ,  biar langsung lawang anies ,  pemilu cepet selesai ,  dan anirs jadi presiden .  ","['prabowo', 'ganjar', ',', 'atau', 'ganjar', 'prabowo', ',', 'cepat', 'lah', 'deklarasi', ',', 'biar', 'langsung', 'lawang', 'anies', ',', 'pemilu', 'cepat', 'selesai', ',', 'dan', 'anirs', 'jadi', 'presiden', '.', 'beamingfacewithsmilingeyes']",Neutral,Neutral
30,"BODO AMAT!!!

Mau kamu dukung Ganjar
Mau kamu dukung Prabowo
Mau kamu dukung Anies

Mau jambak²an
Mau saling hujat
Mau saling serang
Pun
Mau nyerang saya

TERSERAH...
Suka² kalian lah!!!

Saya hanya kawal Pak Jokowi sampe purna tugas di 2024!!!

APA LOE...
DEBAT???
.
.
.
📌 https://t.co/kCq48s3cIC",bodo amat mau kamu dukung ganjar mau kamu dukung prabowo mau kamu dukung anies mau jambakan mau saling hujat mau saling serang pun mau menyerang saya terserah . . . suka kalian lah saya hanya kawal pak jokowi sampai purna tugas di apa lo . . . debat ? ? ? . . . pushpin ,bodo amat !  !  !   mau kamu dukung ganjar mau kamu dukung prabowo mau kamu dukung anies  mau jambakan mau saling hujat mau saling serang pun mau nyerang saya  terserah .  .  .  suka kalian lah !  !  !   saya hanya kawal pak jokowi sampe purna tugas di  !  !  !   apa loe .  .  .  debat ?  ?  ?   .   .   .  ,"['bodo', 'amat', 'mau', 'kamu', 'dukung', 'ganjar', 'mau', 'kamu', 'dukung', 'prabowo', 'mau', 'kamu', 'dukung', 'anies', 'mau', 'jambakan', 'mau', 'saling', 'hujat', 'mau', 'saling', 'serang', 'pun', 'mau', 'menyerang', 'saya', 'terserah', '.', '.', '.', 'suka', 'kalian', 'lah', 'saya', 'hanya', 'kawal', 'pak', 'jokowi', 'sampai', 'purna', 'tugas', 'di', 'apa', 'lo', '.', '.', '.', 'debat', '?', '?', '?', '.', '.', '.', 'pushpin']",Negative,Negative
31,"Ganjar unggul atas Prabowo dan Anies
#GanjarCapres #GanjarPranowo https://t.co/jh20VDgq3R",ganjar unggul atas prabowo dan anies,ganjar unggul atas prabowo dan anies,"['ganjar', 'unggul', 'atas', 'prabowo', 'dan', 'anies']",Neutral,Neutral
32,"Knp Jokowi yg Presiden harus Takut dgn Anies yg Pengangguran ?

Shg Presiden lgsg yg bekerja utk Cawe2 menghadapi Pilpres ini?
Baru kali ini Presiden lgsg turun lho

Berarti presiden sendiri ngk percaya dgn elektabilitas anak buah nya prabowo dan ganjar🙈

utk hadapi Anies👍🤲 https://t.co/FQsgKKPBfz",kenapa jokowi yang presiden harus takut dengan anies yang pengangguran ? shg presiden langsung yang bekerja untuk cawe menghadapi pilpres ini ? baru kali ini presiden langsung turun lho berarti presiden sendiri enggak percaya dengan elektabilitas anak buah nya prabowo dan ganjar sih-no-evilmonkey untuk hadapi anies thumbsup palmsuptogether ,knp jokowi yg presiden harus takut dgn anies yg pengangguran  ?   shg presiden lgsg yg bekerja utk cawe menghadapi pilpres ini ?  baru kali ini presiden lgsg turun lho  berarti presiden sendiri ngk percaya dgn elektabilitas anak buah nya prabowo dan ganjar  utk hadapi anies,"['kenapa', 'jokowi', 'yang', 'presiden', 'harus', 'takut', 'dengan', 'anies', 'yang', 'pengangguran', '?', 'shg', 'presiden', 'langsung', 'yang', 'bekerja', 'untuk', 'cawe', 'menghadapi', 'pilpres', 'ini', '?', 'baru', 'kali', 'ini', 'presiden', 'langsung', 'turun', 'lho', 'berarti', 'presiden', 'sendiri', 'enggak', 'percaya', 'dengan', 'elektabilitas', 'anak', 'buah', 'nya', 'prabowo', 'dan', 'ganjar', 'sih-no-evilmonkey', 'untuk', 'hadapi', 'anies', 'thumbsup', 'palmsuptogether']",Neutral,Neutral
