,content,text_clean,casefolding,emojis,alay,tokenizing,elongation,sentiment,alt
21,Hidup Indonesiaku...<br>Aku cinta negaraku..<br><br>Dan siapa pilihanku....<br><br>Eiiiittt.....rahasia ya....<br><br>Kan di PILPRES harus berlaku jurdil....<br>Jadi tetep harus rahasia dooooooongg....<br>He he heeeeee..<br><br>I love Indonesia@,Hidup Indonesiaku    br Aku cinta negaraku   br  br Dan siapa pilihanku     br  br Eiiiittt     rahasia ya     br  br Kan di PILPRES harus berlaku jurdil     br Jadi tetep harus rahasia dooooooongg     br He he heeeeee   br  br I love Indonesia,hidup indonesiaku    br aku cinta negaraku   br  br dan siapa pilihanku     br  br eiiiittt     rahasia ya     br  br kan di pilpres harus berlaku jurdil     br jadi tetep harus rahasia dooooooongg     br he he heeeeee   br  br i love indonesia,hidup indonesiaku br aku cinta negaraku br br dan siapa pilihanku br br eiiiittt rahasia ya br br kan di pilpres harus berlaku jurdil br jadi tetep harus rahasia dooooooongg br he he heeeeee br br i love indonesia,hidup indonesiaku baru aku cinta negaraku baru baru dan siapa pilihanku baru baru eiiiittt rahasia ya baru baru kan di pilpres harus berlaku jurdil baru jadi tetap harus rahasia dooooooongg baru he he heeeeee baru baru i love indonesia,"['hidup', 'indonesiaku', 'baru', 'aku', 'cinta', 'negaraku', 'baru', 'baru', 'dan', 'siapa', 'pilihanku', 'baru', 'baru', 'eiiiittt', 'rahasia', 'ya', 'baru', 'baru', 'kan', 'di', 'pilpres', 'harus', 'berlaku', 'jurdil', 'baru', 'jadi', 'tetap', 'harus', 'rahasia', 'dooooooongg', 'baru', 'he', 'he', 'heeeeee', 'baru', 'baru', 'i', 'love', 'indonesia']","['hidup', 'indonesiaku', 'baru', 'aku', 'cinta', 'negaraku', 'baru', 'baru', 'dan', 'siapa', 'pilihanku', 'baru', 'baru', 'eiiiit', 'rahasia', 'ya', 'baru', 'baru', 'kan', 'di', 'pilpres', 'harus', 'berlaku', 'jurdil', 'baru', 'jadi', 'tetap', 'harus', 'rahasia', 'dooooooong', 'baru', 'he', 'he', 'he', 'baru', 'baru', 'i', 'love', 'indonesia']",Negative,Neutral
22,Kok PDI si fix ga bakalan dukung pak ganjar,Kok PDI si fix ga bakalan dukung pak ganjar,kok pdi si fix ga bakalan dukung pak ganjar,kok pdi si fix ga bakalan dukung pak ganjar,kok pdi sih fix enggak bakalan dukung pak ganjar,"['kok', 'pdi', 'sih', 'fix', 'enggak', 'bakalan', 'dukung', 'pak', 'ganjar']","['kok', 'pdi', 'sih', 'fix', 'enggak', 'bakalan', 'dukung', 'pak', 'ganjar']",Negative,Neutral
23,😁KEMARIN PAK FX DI OMELIN SEKJEN PDI...SEKARANG DI ELU ELUKAN...YANG SABAR PAK FX YA....,😁KEMARIN PAK FX DI OMELIN SEKJEN PDI   SEKARANG DI ELU ELUKAN   YANG SABAR PAK FX YA,😁kemarin pak fx di omelin sekjen pdi   sekarang di elu elukan   yang sabar pak fx ya, beamingfacewithsmilingeyes kemarin pak fx di omelin sekjen pdi sekarang di elu elukan yang sabar pak fx ya, beamingfacewithsmilingeyes kemarin pak fx di omelin sekjen pdi sekarang di lu elukan yang sabar pak fx ya,"['beamingfacewithsmilingeyes', 'kemarin', 'pak', 'fx', 'di', 'omelin', 'sekjen', 'pdi', 'sekarang', 'di', 'lu', 'elukan', 'yang', 'sabar', 'pak', 'fx', 'ya']","['beamingfacewithsmilingeyes', 'kemarin', 'pak', 'fx', 'di', 'omelin', 'sekjen', 'pdi', 'sekarang', 'di', 'lu', 'elukan', 'yang', 'sabar', 'pak', 'fx', 'ya']",Positive,Neutral
24,"Premanya politisi solo Pak Fx Hadi,sudah sangat teruji utk menghadapi gejolak Partai PDIP,GA Mungkin beliau bicara sembarangan,pak Fx Hadi Paham betul siapa Ibu Mega Wati Sukarno Putri",Premanya politisi solo Pak Fx Hadi sudah sangat teruji utk menghadapi gejolak Partai PDIP GA Mungkin beliau bicara sembarangan pak Fx Hadi Paham betul siapa Ibu Mega Wati Sukarno Putri,premanya politisi solo pak fx hadi sudah sangat teruji utk menghadapi gejolak partai pdip ga mungkin beliau bicara sembarangan pak fx hadi paham betul siapa ibu mega wati sukarno putri,premanya politisi solo pak fx hadi sudah sangat teruji utk menghadapi gejolak partai pdip ga mungkin beliau bicara sembarangan pak fx hadi paham betul siapa ibu mega wati sukarno putri,premanya politisi solo pak fx hadi sudah sangat teruji untuk menghadapi gejolak partai pdip enggak mungkin beliau bicara sembarangan pak fx hadi paham betul siapa ibu mega wati sukarno putri,"['premanya', 'politisi', 'solo', 'pak', 'fx', 'hadi', 'sudah', 'sangat', 'teruji', 'untuk', 'menghadapi', 'gejolak', 'partai', 'pdip', 'enggak', 'mungkin', 'beliau', 'bicara', 'sembarangan', 'pak', 'fx', 'hadi', 'paham', 'betul', 'siapa', 'ibu', 'mega', 'wati', 'sukarno', 'putri']","['premanya', 'politisi', 'solo', 'pak', 'fx', 'hadi', 'sudah', 'sangat', 'teruji', 'untuk', 'menghadapi', 'gejolak', 'partai', 'pdip', 'enggak', 'mungkin', 'beliau', 'bicara', 'sembarangan', 'pak', 'fx', 'hadi', 'paham', 'betul', 'siapa', 'ibu', 'mega', 'wati', 'sukarno', 'putri']",Negative,Neutral
25,Mbah putri... gek ndang pengajian.... persiapan kondur ngadep gusti Alloh.. umur sampun sanget sepuh lo nggih... mengko lali mbah putri.... jangan dunia membuat mu silau dan lupa akheratmu...,Mbah putri    gek ndang pengajian     persiapan kondur ngadep gusti Alloh   umur sampun sanget sepuh lo nggih    mengko lali mbah putri     jangan dunia membuat mu silau dan lupa akheratmu,mbah putri    gek ndang pengajian     persiapan kondur ngadep gusti alloh   umur sampun sanget sepuh lo nggih    mengko lali mbah putri     jangan dunia membuat mu silau dan lupa akheratmu,mbah putri gek ndang pengajian persiapan kondur ngadep gusti alloh umur sampun sanget sepuh lo nggih mengko lali mbah putri jangan dunia membuat mu silau dan lupa akheratmu,mbah putri gek ndang pengajian persiapan kondur ngadep gusti allah umur sampun sanget sepuh lo nggih mengko lali mbah putri jangan dunia membuat mu silau dan lupa akheratmu,"['mbah', 'putri', 'gek', 'ndang', 'pengajian', 'persiapan', 'kondur', 'ngadep', 'gusti', 'allah', 'umur', 'sampun', 'sanget', 'sepuh', 'lo', 'nggih', 'mengko', 'lali', 'mbah', 'putri', 'jangan', 'dunia', 'membuat', 'mu', 'silau', 'dan', 'lupa', 'akheratmu']","['mbah', 'putri', 'gek', 'ndang', 'pengajian', 'persiapan', 'kondur', 'ngadep', 'gusti', 'allah', 'umur', 'sampun', 'sanget', 'sepuh', 'lo', 'nggih', 'mengko', 'lali', 'mbah', 'putri', 'jangan', 'dunia', 'membuat', 'mu', 'silau', 'dan', 'lupa', 'akheratmu']",Negative,Neutral
26,Kalau tiga pasangan maka kalau Ganjar dipasangkan dengan Erick Thohir terus Prabowo di pasangkan dgn Erlangga dan Anies dipasangkan dengan ahy atau siapa saja terjadi dua putaran yang maju putaran kedua Ganjar dan Prabowo pemenangnya Ganjar menan tipis,Kalau tiga pasangan maka kalau Ganjar dipasangkan dengan Erick Thohir terus Prabowo di pasangkan dgn Erlangga dan Anies dipasangkan dengan ahy atau siapa saja terjadi dua putaran yang maju putaran kedua Ganjar dan Prabowo pemenangnya Ganjar menan tipis,kalau tiga pasangan maka kalau ganjar dipasangkan dengan erick thohir terus prabowo di pasangkan dgn erlangga dan anies dipasangkan dengan ahy atau siapa saja terjadi dua putaran yang maju putaran kedua ganjar dan prabowo pemenangnya ganjar menan tipis,kalau tiga pasangan maka kalau ganjar dipasangkan dengan erick thohir terus prabowo di pasangkan dgn erlangga dan anies dipasangkan dengan ahy atau siapa saja terjadi dua putaran yang maju putaran kedua ganjar dan prabowo pemenangnya ganjar menan tipis,kalau tiga pasangan maka kalau ganjar dipasangkan dengan erick thohir terus prabowo di pasangkan dengan erlangga dan anies dipasangkan dengan ahy atau siapa saja terjadi dua putaran yang maju putaran kedua ganjar dan prabowo pemenangnya ganjar menan tipis,"['kalau', 'tiga', 'pasangan', 'maka', 'kalau', 'ganjar', 'dipasangkan', 'dengan', 'erick', 'thohir', 'terus', 'prabowo', 'di', 'pasangkan', 'dengan', 'erlangga', 'dan', 'anies', 'dipasangkan', 'dengan', 'ahy', 'atau', 'siapa', 'saja', 'terjadi', 'dua', 'putaran', 'yang', 'maju', 'putaran', 'kedua', 'ganjar', 'dan', 'prabowo', 'pemenangnya', 'ganjar', 'menan', 'tipis']","['kalau', 'tiga', 'pasangan', 'maka', 'kalau', 'ganjar', 'dipasangkan', 'dengan', 'erick', 'thohir', 'terus', 'prabowo', 'di', 'pasangkan', 'dengan', 'erlangga', 'dan', 'anies', 'dipasangkan', 'dengan', 'ahy', 'atau', 'siapa', 'saja', 'terjadi', 'dua', 'putaran', 'yang', 'maju', 'putaran', 'kedua', 'ganjar', 'dan', 'prabowo', 'pemenangnya', 'ganjar', 'menan', 'tipis']",Neutral,Neutral
27,Karena di putaran kedua Nasdem keganjar,Karena di putaran kedua Nasdem keganjar,karena di putaran kedua nasdem keganjar,karena di putaran kedua nasdem keganjar,karena di putaran kedua nasdem keganjar,"['karena', 'di', 'putaran', 'kedua', 'nasdem', 'keganjar']","['karena', 'di', 'putaran', 'kedua', 'nasdem', 'keganjar']",Neutral,Neutral
28,Gw takut ngeliat kumisnya pak fx😅,Gw takut ngeliat kumisnya pak fx😅,gw takut ngeliat kumisnya pak fx😅,gw takut ngeliat kumisnya pak fx grinningfacewithsweat ,gue takut melihat kumisnya pak fx grinningfacewithsweat ,"['gue', 'takut', 'melihat', 'kumisnya', 'pak', 'fx', 'grinningfacewithsweat']","['gue', 'takut', 'melihat', 'kumisnya', 'pak', 'fx', 'grinningfacewithsweat']",Negative,Negative
29,Maka Prabowo akan kalah yang keempat kalinya,Maka Prabowo akan kalah yang keempat kalinya,maka prabowo akan kalah yang keempat kalinya,maka prabowo akan kalah yang keempat kalinya,maka prabowo akan kalah yang keempat kalinya,"['maka', 'prabowo', 'akan', 'kalah', 'yang', 'keempat', 'kalinya']","['maka', 'prabowo', 'akan', 'kalah', 'yang', 'keempat', 'kalinya']",Negative,Neutral
30,"Kalau tiga pasangan calon presiden maka akan terjadi dua putaran contoh Ganjar, Prabowo, Anies maju yang maju putaran kedua Ganjar lawan Prabowo pemenangnya Ganjar menan tipis",Kalau tiga pasangan calon presiden maka akan terjadi dua putaran contoh Ganjar  Prabowo  Anies maju yang maju putaran kedua Ganjar lawan Prabowo pemenangnya Ganjar menan tipis,kalau tiga pasangan calon presiden maka akan terjadi dua putaran contoh ganjar  prabowo  anies maju yang maju putaran kedua ganjar lawan prabowo pemenangnya ganjar menan tipis,kalau tiga pasangan calon presiden maka akan terjadi dua putaran contoh ganjar prabowo anies maju yang maju putaran kedua ganjar lawan prabowo pemenangnya ganjar menan tipis,kalau tiga pasangan calon presiden maka akan terjadi dua putaran contoh ganjar prabowo anies maju yang maju putaran kedua ganjar lawan prabowo pemenangnya ganjar menan tipis,"['kalau', 'tiga', 'pasangan', 'calon', 'presiden', 'maka', 'akan', 'terjadi', 'dua', 'putaran', 'contoh', 'ganjar', 'prabowo', 'anies', 'maju', 'yang', 'maju', 'putaran', 'kedua', 'ganjar', 'lawan', 'prabowo', 'pemenangnya', 'ganjar', 'menan', 'tipis']","['kalau', 'tiga', 'pasangan', 'calon', 'presiden', 'maka', 'akan', 'terjadi', 'dua', 'putaran', 'contoh', 'ganjar', 'prabowo', 'anies', 'maju', 'yang', 'maju', 'putaran', 'kedua', 'ganjar', 'lawan', 'prabowo', 'pemenangnya', 'ganjar', 'menan', 'tipis']",Neutral,Neutral
31,"Assalamualaikum wr wbr Ganjar Pranowo di pasangkan dgn Prabowo Subianto lawannya cuma Anies Baswedan siapa pun pasangannya Anies Baswedan tetap Ganjar, Prabowo pemenangnya",Assalamualaikum wr wbr Ganjar Pranowo di pasangkan dgn Prabowo Subianto lawannya cuma Anies Baswedan siapa pun pasangannya Anies Baswedan tetap Ganjar  Prabowo pemenangnya,assalamualaikum wr wbr ganjar pranowo di pasangkan dgn prabowo subianto lawannya cuma anies baswedan siapa pun pasangannya anies baswedan tetap ganjar  prabowo pemenangnya,assalamualaikum wr wbr ganjar pranowo di pasangkan dgn prabowo subianto lawannya cuma anies baswedan siapa pun pasangannya anies baswedan tetap ganjar prabowo pemenangnya,assalamualaikum wr wbr ganjar pranowo di pasangkan dengan prabowo subianto lawannya cuma anies baswedan siapa pun pasangannya anies baswedan tetap ganjar prabowo pemenangnya,"['assalamualaikum', 'wr', 'wbr', 'ganjar', 'pranowo', 'di', 'pasangkan', 'dengan', 'prabowo', 'subianto', 'lawannya', 'cuma', 'anies', 'baswedan', 'siapa', 'pun', 'pasangannya', 'anies', 'baswedan', 'tetap', 'ganjar', 'prabowo', 'pemenangnya']","['assalamualaikum', 'wr', 'wbr', 'ganjar', 'pranowo', 'di', 'pasangkan', 'dengan', 'prabowo', 'subianto', 'lawannya', 'cuma', 'anies', 'baswedan', 'siapa', 'pun', 'pasangannya', 'anies', 'baswedan', 'tetap', 'ganjar', 'prabowo', 'pemenangnya']",Neutral,Neutral
32,Mungkinkah PAK PRABOWO mau jadi cawapresnya setelah 2 kali nyapres gagal?,Mungkinkah PAK PRABOWO mau jadi cawapresnya setelah  kali nyapres gagal,mungkinkah pak prabowo mau jadi cawapresnya setelah  kali nyapres gagal,mungkinkah pak prabowo mau jadi cawapresnya setelah kali nyapres gagal,mungkinkah pak prabowo mau jadi cawapresnya setelah kali nyapres gagal,"['mungkinkah', 'pak', 'prabowo', 'mau', 'jadi', 'cawapresnya', 'setelah', 'kali', 'nyapres', 'gagal']","['mungkinkah', 'pak', 'prabowo', 'mau', 'jadi', 'cawapresnya', 'setelah', 'kali', 'nyapres', 'gagal']",Negative,Neutral
33,Babah rudi komentar pun gga bakal laku,Babah rudi komentar pun gga bakal laku,babah rudi komentar pun gga bakal laku,babah rudi komentar pun gga bakal laku,babah rudi komentar pun enggak bakal laku,"['babah', 'rudi', 'komentar', 'pun', 'enggak', 'bakal', 'laku']","['babah', 'rudi', 'komentar', 'pun', 'enggak', 'bakal', 'laku']",Neutral,Neutral
34,"GANJAR SAJA !  👍💟👍 One for all , all for one. 😂😂",GANJAR SAJA    👍💟👍 One for all   all for one  😂😂,ganjar saja    👍💟👍 one for all   all for one  😂😂,ganjar saja thumbsup heartdecoration thumbsup one for all all for one facewithtearsofjoy facewithtearsofjoy ,ganjar saja thumbsup heartdecoration thumbsup one for all all for one facewithtearsofjoy facewithtearsofjoy ,"['ganjar', 'saja', 'thumbsup', 'heartdecoration', 'thumbsup', 'one', 'for', 'all', 'all', 'for', 'one', 'facewithtearsofjoy', 'facewithtearsofjoy']","['ganjar', 'saja', 'thumbsup', 'heartdecoration', 'thumbsup', 'one', 'for', 'al', 'al', 'for', 'one', 'facewithtearsofjoy', 'facewithtearsofjoy']",Positive,Neutral
35,Ingat gara gara dia Piala Dunia Gagal,Ingat gara gara dia Piala Dunia Gagal,ingat gara gara dia piala dunia gagal,ingat gara gara dia piala dunia gagal,ingat gara gara dia piala dunia gagal,"['ingat', 'gara', 'gara', 'dia', 'piala', 'dunia', 'gagal']","['ingat', 'gara', 'gara', 'dia', 'piala', 'dunia', 'gagal']",Negative,Neutral
36,Saya tidak mau terkecoh. Lagi di  mau apa pun istilah nya cebong kampret dan apa lah yg penting.1 tidak nambah utang <br>2 tidak naikan bbm dan pajak cukai rokok  <br>3 pendidikan harus di tarik ke pusat dan ebtanas  harus ada<br>4  kapolri harus di oilih presiden tidak lewat mekanisne  dor,Saya tidak mau terkecoh  Lagi di  mau apa pun istilah nya cebong kampret dan apa lah yg penting  tidak nambah utang  br  tidak naikan bbm dan pajak cukai rokok   br  pendidikan harus di tarik ke pusat dan ebtanas  harus ada br   kapolri harus di oilih presiden tidak lewat mekanisne  dor,saya tidak mau terkecoh  lagi di  mau apa pun istilah nya cebong kampret dan apa lah yg penting  tidak nambah utang  br  tidak naikan bbm dan pajak cukai rokok   br  pendidikan harus di tarik ke pusat dan ebtanas  harus ada br   kapolri harus di oilih presiden tidak lewat mekanisne  dor,saya tidak mau terkecoh lagi di mau apa pun istilah nya cebong kampret dan apa lah yg penting tidak nambah utang br tidak naikan bbm dan pajak cukai rokok br pendidikan harus di tarik ke pusat dan ebtanas harus ada br kapolri harus di oilih presiden tidak lewat mekanisne dor,saya tidak mau terkecoh lagi di mau apa pun istilah nya cebong kampret dan apa lah yang penting tidak menambah utang baru tidak naikan bbm dan pajak cukai rokok baru pendidikan harus di tarik ke pusat dan ebtanas harus ada baru kapolri harus di oilih presiden tidak lewat mekanisne dor,"['saya', 'tidak', 'mau', 'terkecoh', 'lagi', 'di', 'mau', 'apa', 'pun', 'istilah', 'nya', 'cebong', 'kampret', 'dan', 'apa', 'lah', 'yang', 'penting', 'tidak', 'menambah', 'utang', 'baru', 'tidak', 'naikan', 'bbm', 'dan', 'pajak', 'cukai', 'rokok', 'baru', 'pendidikan', 'harus', 'di', 'tarik', 'ke', 'pusat', 'dan', 'ebtanas', 'harus', 'ada', 'baru', 'kapolri', 'harus', 'di', 'oilih', 'presiden', 'tidak', 'lewat', 'mekanisne', 'dor']","['saya', 'tidak', 'mau', 'terkecoh', 'lagi', 'di', 'mau', 'apa', 'pun', 'istilah', 'nya', 'cebong', 'kampret', 'dan', 'apa', 'lah', 'yang', 'penting', 'tidak', 'menambah', 'utang', 'baru', 'tidak', 'naikan', 'bbm', 'dan', 'pajak', 'cukai', 'rokok', 'baru', 'pendidikan', 'harus', 'di', 'tarik', 'ke', 'pusat', 'dan', 'ebtanas', 'harus', 'ada', 'baru', 'kapolri', 'harus', 'di', 'oilih', 'presiden', 'tidak', 'lewat', 'mekanisne', 'dor']",Negative,Negative
37,"Banteng /PDIP no 3 ya ,,joss InsyaAllah menang RI 1",Banteng  PDIP no  ya   joss InsyaAllah menang RI,banteng  pdip no  ya   joss insyaallah menang ri,banteng pdip no ya joss insyaallah menang ri,banteng pdip no ya joss insyaallah menang ri,"['banteng', 'pdip', 'no', 'ya', 'joss', 'insyaallah', 'menang', 'ri']","['banteng', 'pdip', 'no', 'ya', 'jos', 'insyaallah', 'menang', 'ri']",Neutral,Neutral
38,"INGAT BATALNYA PILDUN U20 GARA2 <br><br>1. PDIP<br>2. GANJAR<br><br>JANGAN HARAP DAPAT SUARA, KEJADIAN BATALNYA PILDUN KITA KAWAL SEDEMEKIAN RUPA. CATAT!!!",INGAT BATALNYA PILDUN U GARA  br  br   PDIP br   GANJAR br  br JANGAN HARAP DAPAT SUARA  KEJADIAN BATALNYA PILDUN KITA KAWAL SEDEMEKIAN RUPA  CATAT,ingat batalnya pildun u gara  br  br   pdip br   ganjar br  br jangan harap dapat suara  kejadian batalnya pildun kita kawal sedemekian rupa  catat,ingat batalnya pildun u gara br br pdip br ganjar br br jangan harap dapat suara kejadian batalnya pildun kita kawal sedemekian rupa catat,ingat batalnya pildun lu gara baru baru pdip baru ganjar baru baru jangan harap dapat suara kejadian batalnya pildun kita kawal sedemekian rupa catat,"['ingat', 'batalnya', 'pildun', 'lu', 'gara', 'baru', 'baru', 'pdip', 'baru', 'ganjar', 'baru', 'baru', 'jangan', 'harap', 'dapat', 'suara', 'kejadian', 'batalnya', 'pildun', 'kita', 'kawal', 'sedemekian', 'rupa', 'catat']","['ingat', 'batalnya', 'pildun', 'lu', 'gara', 'baru', 'baru', 'pdip', 'baru', 'ganjar', 'baru', 'baru', 'jangan', 'harap', 'dapat', 'suara', 'kejadian', 'batalnya', 'pildun', 'kita', 'kawal', 'sedemekian', 'rupa', 'catat']",Neutral,Neutral
39,halah... klo pildun jadi ente juga bakal serang jokowi..,halah    klo pildun jadi ente juga bakal serang jokowi,halah    klo pildun jadi ente juga bakal serang jokowi,halah klo pildun jadi ente juga bakal serang jokowi,halah kalo pildun jadi ente juga bakal serang jokowi,"['halah', 'kalo', 'pildun', 'jadi', 'ente', 'juga', 'bakal', 'serang', 'jokowi']","['halah', 'kalo', 'pildun', 'jadi', 'ente', 'juga', 'bakal', 'serang', 'jokowi']",Positive,Neutral
40,Siapa pun yg di calonkan dari partai PDIP jangan pilih kalau tidak mau sengsara lagi.,Siapa pun yg di calonkan dari partai PDIP jangan pilih kalau tidak mau sengsara lagi,siapa pun yg di calonkan dari partai pdip jangan pilih kalau tidak mau sengsara lagi,siapa pun yg di calonkan dari partai pdip jangan pilih kalau tidak mau sengsara lagi,siapa pun yang di calonkan dari partai pdip jangan pilih kalau tidak mau sengsara lagi,"['siapa', 'pun', 'yang', 'di', 'calonkan', 'dari', 'partai', 'pdip', 'jangan', 'pilih', 'kalau', 'tidak', 'mau', 'sengsara', 'lagi']","['siapa', 'pun', 'yang', 'di', 'calonkan', 'dari', 'partai', 'pdip', 'jangan', 'pilih', 'kalau', 'tidak', 'mau', 'sengsara', 'lagi']",Negative,Negative
41,Betul,Betul,betul,betul,betul,['betul'],['betul'],Negative,Neutral
42,Uda duluan di umumkan ama fx rudi ....😊😊 sampe kena tegur ama sekjen....😁,Uda duluan di umumkan ama fx rudi     😊😊 sampe kena tegur ama sekjen    😁,uda duluan di umumkan ama fx rudi     😊😊 sampe kena tegur ama sekjen    😁,uda duluan di umumkan ama fx rudi smilingfacewithsmilingeyes smilingfacewithsmilingeyes sampe kena tegur ama sekjen beamingfacewithsmilingeyes ,sudah duluan di umumkan sama fx rudi smilingfacewithsmilingeyes smilingfacewithsmilingeyes sampai kena tegur sama sekjen beamingfacewithsmilingeyes ,"['sudah', 'duluan', 'di', 'umumkan', 'sama', 'fx', 'rudi', 'smilingfacewithsmilingeyes', 'smilingfacewithsmilingeyes', 'sampai', 'kena', 'tegur', 'sama', 'sekjen', 'beamingfacewithsmilingeyes']","['sudah', 'duluan', 'di', 'umumkan', 'sama', 'fx', 'rudi', 'smilingfacewithsmilingeyes', 'smilingfacewithsmilingeyes', 'sampai', 'kena', 'tegur', 'sama', 'sekjen', 'beamingfacewithsmilingeyes']",Negative,Neutral
43,Tunggu komentar wowo,Tunggu komentar wowo,tunggu komentar wowo,tunggu komentar wowo,tunggu komentar wowo,"['tunggu', 'komentar', 'wowo']","['tunggu', 'komentar', 'wowo']",Neutral,Neutral
44,Konohamaru murid naruto,Konohamaru murid naruto,konohamaru murid naruto,konohamaru murid naruto,konohamaru murid naruto,"['konohamaru', 'murid', 'naruto']","['konohamaru', 'murid', 'naruto']",Neutral,Neutral
45,jam 13.45..<br>melambangkan..<br>1. bersatu untuk menang<br>3. banteng no 3..harus menang<br>45. Semangat perjuangan...,jam     br melambangkan   br   bersatu untuk menang br   banteng no   harus menang br   Semangat perjuangan,jam     br melambangkan   br   bersatu untuk menang br   banteng no   harus menang br   semangat perjuangan,jam br melambangkan br bersatu untuk menang br banteng no harus menang br semangat perjuangan,jam baru melambangkan baru bersatu untuk menang baru banteng no harus menang baru semangat perjuangan,"['jam', 'baru', 'melambangkan', 'baru', 'bersatu', 'untuk', 'menang', 'baru', 'banteng', 'no', 'harus', 'menang', 'baru', 'semangat', 'perjuangan']","['jam', 'baru', 'melambangkan', 'baru', 'bersatu', 'untuk', 'menang', 'baru', 'banteng', 'no', 'harus', 'menang', 'baru', 'semangat', 'perjuangan']",Positive,Neutral
46,"Setuju .ayoo menangkan banteng ,,,,joss",Setuju  ayoo menangkan banteng     joss,setuju  ayoo menangkan banteng     joss,setuju ayoo menangkan banteng joss,setuju ayo menangkan banteng joss,"['setuju', 'ayo', 'menangkan', 'banteng', 'joss']","['setuju', 'ayo', 'menangkan', 'banteng', 'jos']",Negative,Neutral
47,Monggo pk prabowo legowo dados cawapres pk ganjar njih,Monggo pk prabowo legowo dados cawapres pk ganjar njih,monggo pk prabowo legowo dados cawapres pk ganjar njih,monggo pk prabowo legowo dados cawapres pk ganjar njih,monggo pakai prabowo legowo dados cawapres pakai ganjar njih,"['monggo', 'pakai', 'prabowo', 'legowo', 'dados', 'cawapres', 'pakai', 'ganjar', 'njih']","['monggo', 'pakai', 'prabowo', 'legowo', 'dados', 'cawapres', 'pakai', 'ganjar', 'njih']",Neutral,Neutral
48,Calon boneka baru wkwk,Calon boneka baru wkwk,calon boneka baru wkwk,calon boneka baru wkwk,calon boneka baru wkwk,"['calon', 'boneka', 'baru', 'wkwk']","['calon', 'boneka', 'baru', 'wkwk']",Neutral,Neutral
49,Feodalisme. Petugas partai. Ganjar sulit menang karena nggak punya jati diri. Pilihan pada PSI.,Feodalisme  Petugas partai  Ganjar sulit menang karena nggak punya jati diri  Pilihan pada PSI,feodalisme  petugas partai  ganjar sulit menang karena nggak punya jati diri  pilihan pada psi,feodalisme petugas partai ganjar sulit menang karena nggak punya jati diri pilihan pada psi,feodalisme petugas partai ganjar sulit menang karena enggak punya jati diri pilihan pada psi,"['feodalisme', 'petugas', 'partai', 'ganjar', 'sulit', 'menang', 'karena', 'enggak', 'punya', 'jati', 'diri', 'pilihan', 'pada', 'psi']","['feodalisme', 'petugas', 'partai', 'ganjar', 'sulit', 'menang', 'karena', 'enggak', 'punya', 'jati', 'diri', 'pilihan', 'pada', 'psi']",Negative,Neutral
50,Gak minat,Gak minat,gak minat,gak minat,enggak minat,"['enggak', 'minat']","['enggak', 'minat']",Negative,Neutral
51,Petugas partai,Petugas partai,petugas partai,petugas partai,petugas partai,"['petugas', 'partai']","['petugas', 'partai']",Negative,Neutral
52,Saya juga heran dgn kata2 itu kok masih dipakai....sangat menjijikkan...,Saya juga heran dgn kata itu kok masih dipakai    sangat menjijikkan,saya juga heran dgn kata itu kok masih dipakai    sangat menjijikkan,saya juga heran dgn kata itu kok masih dipakai sangat menjijikkan,saya juga heran dengan kata itu kok masih dipakai sangat menjijikkan,"['saya', 'juga', 'heran', 'dengan', 'kata', 'itu', 'kok', 'masih', 'dipakai', 'sangat', 'menjijikkan']","['saya', 'juga', 'heran', 'dengan', 'kata', 'itu', 'kok', 'masih', 'dipakai', 'sangat', 'menjijikkan']",Negative,Negative
53,Merdeka,Merdeka,merdeka,merdeka,merdeka,['merdeka'],['merdeka'],Neutral,Neutral
