,Date,User,Tweet,Hashtags,Like,Retweet,Reply,text_clean,text_preprocessed,Result Prediction
10,2023-01-01,lamannungke,"@SimbokeSarah @Bubut871 Siapa presiden Indonesia yg paling bagus?? Semua ada kelbihan dan kekurangan nya ,kalau mau dibandingkan...yaa kita harus realistis ..pak Jokowi yg paling banyak membuat perubahan ,yg paling sederhana harga bbm di Papua sama di daerah lain di Indonesia, salam persaudaraan 🇮🇩🇮🇩",,1,0,1,siapa presiden indonesia yang paling bagus semua ada kelbihan dan kekurangan nya kalau mau dibandingkanyaa kita harus realistis pak jokowi yang paling banyak membuat perubahan yang paling sederhana harga bbm di papua sama di daerah lain di indonesia salam persaudaraan,"['presiden', 'indonesia', 'bagu', 'kelbihan', 'kekurangan', 'nya', 'dibandingkanyaa', 'realisti', 'jokowi', 'perubahan', 'sederhana', 'harga', 'bbm', 'papua', 'daerah', 'indonesia', 'salam', 'persaudaraan']",Positive
11,2023-01-01,capt_10R174,"@Bams27735590 Jika Pembohong jadi Presiden, siapa tau Raja Halu juga bisa",,0,0,1,jika pembohong jadi presiden siapa tau raja halu juga bisa,"['pembohong', 'presiden', 'tau', 'raja', 'halu']",Neutral
12,2023-01-01,nisha1na,@AmiPermata12 Indonesia tidak butuh anies jadi presiden,,0,0,0,indonesia tidak butuh anies jadi presiden,"['indonesia', 'butuh', 'ani', 'presiden']",Neutral
13,2023-01-01,kumparan,"Perdagangan saham di BEI pagi ini akan dibuka Presiden Jokowi. Sayangnya, laju IHSG diprediksi melemah. #kumparanBISNIS https://t.co/ULa9AfozkL",['kumparanBISNIS'],0,0,0,perdagangan saham di bei pagi ini akan dibuka presiden jokowi sayangnya laju ihsg diprediksi melemah,"['perdagangan', 'saham', 'bei', 'pagi', 'dibuka', 'presiden', 'jokowi', 'sayangnya', 'laju', 'ihsg', 'diprediksi', 'melemah']",Neutral
14,2023-01-01,madularang,"@Verraagustian_ BELUM ADA SEJARAHNYA...
PRESIDEN BISA SEPERTI INI👇....HANYA JOKOWI https://t.co/1RhnjNOLxE",,5,0,1,belum ada sejarahnya presiden bisa seperti inihanya jokowi,"['sejarahnya', 'presiden', 'inihanya', 'jokowi']",Positive
15,2023-01-01,jadid_amar,"@setyoprihandono @geloraco DPR gak usah digaji 🤣🤣🤣

Kecuali anggota DPR nya faqir miskin

Dapet zakat

Gedung DPR buat sekolah gratis aja

Buat pabrik juga bisa

Agar membuka lapangan kerja

DPR rapat nya bareng presiden aja di istana

Biar sekalian sama presiden rapatnya

Namanya juga sama2 pemerintah",,0,0,0,dpr enggak usah digaji kecuali anggota dpr nya faqir miskin dapat zakat gedung dpr buat sekolah gratis saja buat pabrik juga bisa agar membuka lapangan kerja dpr rapat nya bareng presiden saja di istana biar sekalian sama presiden rapatnya namanya juga sama pemerintah,"['dpr', 'digaji', 'kecuali', 'anggota', 'dpr', 'nya', 'faqir', 'miskin', 'zakat', 'gedung', 'dpr', 'sekolah', 'grati', 'pabrik', 'membuka', 'lapangan', 'kerja', 'dpr', 'rapat', 'nya', 'bareng', 'presiden', 'istana', 'biar', 'presiden', 'rapatnya', 'namanya', 'pemerintah']",Positive
16,2023-01-01,alam280876,"@rmol_id ""akan mudah diatasi jika jadi presiden""",,0,0,0,id akan mudah diatasi jika jadi presiden,"['id', 'mudah', 'diatasi', 'presiden']",Positive
17,2023-01-01,BJKT1Terpercaya,"Sobat BUMN,

Presiden Republik Indonesia, Bp. Joko Widodo berkesempatan mencoba naik LRT Jabodebek sejauh 9 kilometer selama 12 menit dari stasiun Harjamukti ke stasiun Taman Mini Indonesia Indah (TMII), Senin 26 Desember 2022. https://t.co/Md57VQfmzi",,0,0,1,sobat bumn presiden republik indonesia bp joko widodo berkesempatan mencoba naik ljabodebek sejauh kilometer selama menit dari stasiun harjamukti ke stasiun taman mini indonesia indah tmii senin desember,"['sobat', 'bumn', 'presiden', 'republik', 'indonesia', 'bp', 'joko', 'widodo', 'berkesempatan', 'mencoba', 'ljabodebek', 'kilomet', 'menit', 'stasiun', 'harjamukti', 'stasiun', 'taman', 'mini', 'indonesia', 'indah', 'tmii', 'senin', 'desemb']",Positive
18,2023-01-01,Lembayung071,@303konsorsium @AhJempol @ViviNadia8 Kadihan kadrun klojotan ...resah n gelisah sebenernya kalian rakyat mana sih tinggal.d NKRI  tp kelakuan jauh dr rakyat NKRI kl nga suka ma Presiden Indonesia mingat sana dr nkri nga malu n nga tau diri!!!,,0,0,0,kadihan kadrun klojotan resah n gelisah sebenarnya kalian rakyat mana sih tinggald nkri tapi kelakuan jauh dari rakyat nkri kalo enggak suka sama presiden indonesia mingat sana dari nkri enggak malu n enggak tau diri,"['kadihan', 'kadrun', 'klojotan', 'resah', 'n', 'gelisah', 'rakyat', 'sih', 'tinggald', 'nkri', 'kelakuan', 'rakyat', 'nkri', 'kalo', 'suka', 'presiden', 'indonesia', 'mingat', 'nkri', 'malu', 'n', 'tau']",Neutral
19,2023-01-01,Reza00543109,@rmol_id Jakarta sepanjang tahun banjir mau jadi presiden.. Beraxss...,,0,0,0,id jakarta sepanjang tahun banjir mau jadi presiden beraxss,"['id', 'jakarta', 'banjir', 'presiden', 'beraxss']",Positive
20,2023-01-01,okezonenews,"Ancaman Kekerasan di Tengah Pelantikan Presiden Brasil Lula da Silva, Seorang Pria Ditangkap Membawa Pisau #LengkapCepatBeritanya #BeritaTerkini #International #BeritaInternasional . https://t.co/M3NvG3yzcg","['LengkapCepatBeritanya', 'BeritaTerkini', 'International', 'BeritaInternasional']",1,0,0,ancaman kekerasan di tengah pelantikan presiden brasil lula dah silva seorang pria ditangkap membawa pisau,"['ancaman', 'kekerasan', 'pelantikan', 'presiden', 'brasil', 'lula', 'dah', 'silva', 'pria', 'ditangkap', 'membawa', 'pisau']",Neutral
21,2023-01-01,AuisGrand,"Rakyat Indonesia merayakan tahun baru 2023 dengan penuh sukacita, apalagi Presiden Joko Widodo resmi mencabut PPKM pada Jumat (30/12/2022). #Opini #AdadiKompas
https://t.co/mUlExktj87","['Opini', 'AdadiKompas']",0,0,0,rakyat indonesia merayakan tahun baru dengan penuh sukacita apalagi presiden joko widodo resmi mencabut ppkm pada jumat,"['rakyat', 'indonesia', 'merayakan', 'penuh', 'sukacita', 'presiden', 'joko', 'widodo', 'resmi', 'mencabut', 'ppkm', 'jumat']",Positive
22,2023-01-01,choniby,@MarshallBravo3 @Kurniaw46631487 @idextratime Ditahan sama presiden francenya bro kalo mbappe,,0,0,0,ditahan sama presiden francenya bro kalo mbappe,"['ditahan', 'presiden', 'francenya', 'bro', 'kalo', 'mbapp']",Positive
23,2023-01-01,Nurhadi1221,@rmol_id Siapapun yg jadi presiden ga bakal bisa selesin banjir disemarang. Karena air laut lebih tinggi dr pemukiman warga. Selesai.,,1,0,1,id siapapun yang jadi presiden enggak bakal bisa selesin banjir disemarang karena air laut lebih tinggi dari pemukiman warga selesai,"['id', 'presiden', 'selesin', 'banjir', 'disemarang', 'air', 'laut', 'pemukiman', 'warga', 'selesai']",Neutral
24,2023-01-01,digoindo,"Presiden RI Joko Widodo mengajak semua pihak menyambut harapan, tantangan dan peluang baru di tahun 2023. https://t.co/0QiZraNUVl Happy New Year",,3,0,0,presiden ri joko widodo mengajak semua pihak menyambut harapan tantangan dan peluang baru di tahun happy new year,"['presiden', 'ri', 'joko', 'widodo', 'mengajak', 'menyambut', 'harapan', 'tantangan', 'peluang', 'happi', 'new', 'year']",Positive
25,2023-01-01,taliwongsooo,"@narkosun__ @musniumar Klas lokalan.
Gini kok dukung seseorang jadi presiden, gak sampai orientasimu Mus.",,0,0,0,kelas lokalan begini kok dukung seseorang jadi presiden enggak sampai orientasimu mus,"['kela', 'lokalan', 'dukung', 'presiden', 'orientasimu', 'mu']",Neutral
26,2023-01-01,Davichi101,"Musuh Jokowi akan TETAP serang Jokowi siapapun cawapresnya, dan akan TETAP dukung siapapun lawan Jokowi. Kalo gak mau diserang mereka, jangan calonkan Jokowi. Jika masih ingin jadikan Jokowi Presiden, dukung dan pilih dia..!! As simple as that. 

#Jokowi2Periode 
#2019TetapJokowi","['Jokowi2Periode', '2019TetapJokowi']",0,0,0,musuh jokowi akan tetap serang jokowi siapapun cawapresnya dan akan tetap dukung siapapun lawan jokowi kalo enggak mau diserang mereka jangan calonkan jokowi jika masih ingin jadikan jokowi presiden dukung dan pilih dia as simple as that,"['musuh', 'jokowi', 'serang', 'jokowi', 'cawapresnya', 'dukung', 'lawan', 'jokowi', 'kalo', 'diserang', 'calonkan', 'jokowi', 'jadikan', 'jokowi', 'presiden', 'dukung', 'pilih', 'as', 'simpl', 'as', 'that']",Positive
27,2023-01-01,hariankompas,"Rakyat Indonesia merayakan tahun baru 2023 dengan penuh sukacita, apalagi Presiden Joko Widodo resmi mencabut PPKM pada Jumat (30/12/2022). 

https://t.co/ARcVJWnZZa

#TajukRencana #AdadiKompas","['TajukRencana', 'AdadiKompas']",1,0,0,rakyat indonesia merayakan tahun baru dengan penuh sukacita apalagi presiden joko widodo resmi mencabut ppkm pada jumat,"['rakyat', 'indonesia', 'merayakan', 'penuh', 'sukacita', 'presiden', 'joko', 'widodo', 'resmi', 'mencabut', 'ppkm', 'jumat']",Positive
28,2023-01-01,HidayatBiin,Bersihkan sampah peradaban https://t.co/rg1CXH8ROP,,58,24,0,bersihkan sampah peradaban,"['bersihkan', 'sampah', 'peradaban']",Negative
29,2023-01-01,kucingPeDe,"@OposisiCerdas Ah, bebas2 aja presiden depak menteri mah, apalagi depak koalisi... Sebagaimana rakyat juga sebetulnya bebas2 aja minta presiden mundur, itu masih sangat konstitusional.",,0,0,0,ah bebas saja presiden depak menteri mah apalagi depak koalisi sebagaimana rakyat juga sebetulnya bebas saja meminta presiden mundur itu masih sangat konstitusional,"['ah', 'beba', 'presiden', 'depak', 'menteri', 'mah', 'depak', 'koalisi', 'rakyat', 'beba', 'presiden', 'mundur', 'konstitusion']",Negative
30,2023-01-01,Rezy69592074,@musniumar Pokoke rakyat Indonesia khususnya prov Jateng gk peduli buruk gk peduli sengsara gk peduli banjir seumur-umur gk peduli melarat gk peduli sekarat tetap milih Ganjar Pranowo for Presiden 2024,,0,0,0,pokoke rakyat indonesia khususnya prov jateng enggak peduli buruk enggak peduli sengsara enggak peduli banjir seumurumur enggak peduli melarat enggak peduli sekarat tetap memilih ganjar pranowo for presiden,"['pokok', 'rakyat', 'indonesia', 'prov', 'jateng', 'peduli', 'buruk', 'peduli', 'sengsara', 'peduli', 'banjir', 'seumurumur', 'peduli', 'melarat', 'peduli', 'sekarat', 'memilih', 'ganjar', 'pranowo', 'for', 'presiden']",Positive
31,2023-01-01,KompasData,"Rakyat Indonesia merayakan tahun baru 2023 dengan penuh sukacita, apalagi Presiden Joko Widodo resmi mencabut PPKM pada Jumat (30/12/2022). 
https://t.co/xVhE43RsEe

#Opini #AdadiKompas","['Opini', 'AdadiKompas']",0,0,0,rakyat indonesia merayakan tahun baru dengan penuh sukacita apalagi presiden joko widodo resmi mencabut ppkm pada jumat,"['rakyat', 'indonesia', 'merayakan', 'penuh', 'sukacita', 'presiden', 'joko', 'widodo', 'resmi', 'mencabut', 'ppkm', 'jumat']",Positive
32,2023-01-01,AdiNust1,"Jika dilakukan dengan nafsu bangsa, bukqn nafsu pribadi kek yg sebelumnya, ya pasti akan membanggakan presiden dan negara nya di pergaulan dunia...🆒🙏😎🤟 https://t.co/NtANwYyoAy",,2,0,0,jika dilakukan dengan nafsu bangsa bukqn nafsu pribadi kayak yang sebelumnya ya pasti akan membanggakan presiden dan negara nya di pergaulan dunia,"['nafsu', 'bangsa', 'bukqn', 'nafsu', 'pribadi', 'kayak', 'ya', 'membanggakan', 'presiden', 'negara', 'nya', 'pergaulan', 'dunia']",Positive
33,2023-01-01,DH4mdy,"Usai sesumbar ingin menjadi Presiden , jika tak lagi berdakwah kini Ustaz Yusuf Mansur malah memberikan pernyataan lain. 
#TahunBaruMerugi
#TahunBaruMerugi
https://t.co/dMTmfqznq4","['TahunBaruMerugi', 'TahunBaruMerugi']",1,1,2,usai sesumbar ingin menjadi presiden jika tak lagi berdakwah kini ustaz yusuf mansur malah memberikan pernyataan lain,"['sesumbar', 'presiden', 'berdakwah', 'ustaz', 'yusuf', 'mansur', 'pernyataan']",Positive
34,2023-01-01,inewsdotid,"Lula Resmi Jabat Presiden Brasil, Bolsonaro Terancam Diseret ke Meja Hijau?
https://t.co/YSST2Rmx1q",,1,0,0,lula resmi jabat presiden brasil bolsonaro terancam diseret ke meja hijau,"['lula', 'resmi', 'jabat', 'presiden', 'brasil', 'bolsonaro', 'terancam', 'diseret', 'meja', 'hijau']",Positive
35,2023-01-01,helmiadhitya,@rmol_id Banjir di semarang akan lebih mudah diatasi jika GP jadi presiden,,1,0,0,id banjir di semarang akan lebih mudah diatasi jika gp jadi presiden,"['id', 'banjir', 'semarang', 'mudah', 'diatasi', 'gp', 'presiden']",Positive
36,2023-01-01,Ariefff92839705,"@Paltiwest Ini kerjaan orang bodoh, yg ngotot mau jadi presiden. Kerja nya cuma cairkan anggaran. Biar bisa untung",,8,1,1,ini pekerjaan orang bodoh yang ngotot mau jadi presiden kerja nya cuma cairkan anggaran biar bisa untung,"['pekerjaan', 'orang', 'bodoh', 'ngotot', 'presiden', 'kerja', 'nya', 'cairkan', 'anggaran', 'biar', 'untung']",Positive
37,2023-01-01,p4ngkasepna,"@AgungSu76387898 JOKOWI presiden yang dicintai bangsa Indonesia. Bangsa Nadrunistan tidak pernah memiliki presiden sehebat JOKOWI, makanya selalu ada kata benci, nyinyir dan penghinaan kepada JOKOWI.",,1,0,0,jokowi presiden yang dicintai bangsa indonesia bangsa nadrunistan tidak pernah memiliki presiden sehebat jokowi makanya selalu ada kata benci nyinyir dan penghinaan kepada jokowi,"['jokowi', 'presiden', 'dicintai', 'bangsa', 'indonesia', 'bangsa', 'nadrunistan', 'memiliki', 'presiden', 'sehebat', 'jokowi', 'benci', 'nyinyir', 'penghinaan', 'jokowi']",Positive
38,2023-01-01,Motekar02,"@Midjan_La_2 terbukti ...kl jd presiden akan lbh mudah mengatasi banjir jakarta.
dengan syarat kepala daerah mau kerjasama mengatasi masalahnya.
jngn ada yg berusaha menaturalisasi( membiarkan apa adanya) sungai",,4,2,1,lah terbukti kalo jadi presiden akan lebih mudah mengatasi banjir jakarta dengan syarat kepala daerah mau kerjasama mengatasi masalahnya jangan ada yang berusaha menaturalisasi membiarkan apa adanya sungai,"['terbukti', 'kalo', 'presiden', 'mudah', 'mengatasi', 'banjir', 'jakarta', 'syarat', 'kepala', 'daerah', 'kerjasama', 'mengatasi', 'berusaha', 'menaturalisasi', 'membiarkan', 'sungai']",Positive
39,2023-01-01,cnvaelin,@Askrlfess nnti yang jdi presiden tahun 2030 siapa nder??,,0,0,0,nanti yang jadi presiden tahun siapa nder,"['presiden', 'nder']",Positive
40,2023-01-01,genduk93579505,"@syaf_ml Kalau jadi presiden hibah ke istrinya iadi 63T
Ambyaaaaarrrrr
Mau yang kek gini jadi Presiden.
Gua sih ogah",,0,0,0,ml kalau jadi presiden hibah ke istrinya iadi t ambyaaaaarrrrr mau yang kayak begini jadi presiden gua sih ogah,"['ml', 'presiden', 'hibah', 'istrinya', 'iadi', 't', 'ambyaaaaarrrrr', 'kayak', 'presiden', 'gua', 'sih', 'ogah']",Neutral
41,2023-01-01,Adulltweeter,"@ruhutsitompul Hahahah yg bikin ulah siapa jln udah bagus di rusak,, pasti  yg di salahin pak presiden,,",,0,0,0,hahahah yang bikin ulah siapa jalan sudah bagus di rusak pasti yang di salahkan pak presiden,"['hahahah', 'bikin', 'ulah', 'jalan', 'bagu', 'rusak', 'salahkan', 'presiden']",Neutral
42,2023-01-01,aleg11201,Kinerja Presiden  Ganjar sudah tak diragukan lagi  Masyarakat percaya Indonesia maju bukti  Ganjar bekerja  https://t.co/CwL3vxyLgn #GanjarHebat,['GanjarHebat'],0,0,0,kinerja presiden ganjar sudah tak diragukan lagi masyarakat percaya indonesia maju bukti ganjar bekerja,"['kinerja', 'presiden', 'ganjar', 'diragukan', 'masyarakat', 'percaya', 'indonesia', 'maju', 'bukti', 'ganjar']",Positive
43,2023-01-01,LopezAgjcsl,"Ganjar Bapak Presiden Terhebat, rakyat Kalimantan Tengah mendukungmu  Terima Kasih Presiden  Ganjar atas dedikasimu, kami di  #GanjarHebat",['GanjarHebat'],0,0,0,ganjar bapak presiden terhebat rakyat kalimantan tengah mendukungmu terima kasih presiden ganjar atas dedikasimu kami di,"['ganjar', 'presiden', 'terhebat', 'rakyat', 'kalimantan', 'mendukungmu', 'terima', 'kasih', 'presiden', 'ganjar', 'dedikasimu']",Positive
44,2023-01-01,31_gaviria,Pak  Ganjar terus membangun Indonesia semakin Maju   Ganjar Presiden Indonesia yang membanggakan  https://t.co/RZQmYXFZ21 #GanjarHebat,['GanjarHebat'],0,0,0,pak ganjar terus membangun indonesia semakin maju ganjar presiden indonesia yang membanggakan,"['ganjar', 'membangun', 'indonesia', 'maju', 'ganjar', 'presiden', 'indonesia', 'membanggakan']",Positive
45,2023-01-01,Menor_Do_Bosque,bahu membahu membangun indoneseia termasuk Sumatera Selatan era  Ganjar pembangunan sangat masif  Keren pak presiden lanjutkan #GanjarHebat,['GanjarHebat'],0,0,0,bahu membahu membangun indoneseia termasuk sumatera selatan era ganjar pembangunan sangat masif keren pak presiden lanjutkan,"['bahu', 'membahu', 'membangun', 'indoneseia', 'sumatera', 'selatan', 'era', 'ganjar', 'pembangunan', 'masif', 'keren', 'presiden', 'lanjutkan']",Positive
46,2023-01-01,nolukestahp,Presiden  Ganjar menjadikan Indonesia lebih baik dan maju  Kita bangga di pimpin Pak  Ganjar  https://t.co/wb5OVCdxXW #GanjarHebat,['GanjarHebat'],0,0,0,presiden ganjar menjadikan indonesia lebih baik dan maju kita bangga di pimpin pak ganjar,"['presiden', 'ganjar', 'menjadikan', 'indonesia', 'maju', 'bangga', 'pimpin', 'ganjar']",Positive
47,2023-01-01,agudeloelprinzz,saya bangga punya presiden  Ganjar  bapak infrastruktur  Ganjar  https://t.co/2T1dCt4SDE #GanjarHebat,['GanjarHebat'],0,0,0,saya bangga punya presiden ganjar bapak infrastruktur ganjar,"['bangga', 'presiden', 'ganjar', 'infrastruktur', 'ganjar']",Positive
48,2023-01-01,alexxdavi,"Terimakasih atas pembangunannya Presiden  Ganjar, kami di Kalimantan Tengah tolong diingat y pak  Inilah pemimpin kami Preside #GanjarHebat",['GanjarHebat'],0,0,0,terimakasih atas pembangunannya presiden ganjar kami di kalimantan tengah tolong diingat ya pak inilah pemimpin kami preside,"['terimakasih', 'pembangunannya', 'presiden', 'ganjar', 'kalimantan', 'tolong', 'ya', 'pemimpin', 'presid']",Positive
49,2023-01-01,adelaperezgarc2,Masyakat Indonesia sangat mengapresiasi kepimpinan Presiden  Ganjar di bidang Infrastruktur  tetap semangat pak indonesia maju #GanjarHebat,['GanjarHebat'],0,0,0,masyakat indonesia sangat mengapresiasi kepimpinan presiden ganjar di bidang infrastruktur tetap semangat pak indonesia maju,"['masyakat', 'indonesia', 'mengapresiasi', 'kepimpinan', 'presiden', 'ganjar', 'bidang', 'infrastruktur', 'semangat', 'indonesia', 'maju']",Positive
50,2023-01-01,alghamdi20098,Ganjar Presiden pemersatu pembangunan Indonesia   Ganjar menjalankan amanat rakyat dengan nyata  https://t.co/m7wxWBOLTn #GanjarHebat,['GanjarHebat'],0,0,0,ganjar presiden pemersatu pembangunan indonesia ganjar menjalankan amanat rakyat dengan nyata,"['ganjar', 'presiden', 'pemersatu', 'pembangunan', 'indonesia', 'ganjar', 'menjalankan', 'amanat', 'rakyat', 'nyata']",Positive
51,2023-01-01,eltigredeven,Kinerja pak  Ganjar nyata dan berhasil membangun Indonesia  Masyarakat Sulawesi Selatan menyukai Presiden  Ganjar  https://twi #GanjarHebat,['GanjarHebat'],0,0,0,kinerja pak ganjar nyata dan berhasil membangun indonesia masyarakat sulawesi selatan menyukai presiden ganjar,"['kinerja', 'ganjar', 'nyata', 'berhasil', 'membangun', 'indonesia', 'masyarakat', 'sulawesi', 'selatan', 'menyukai', 'presiden', 'ganjar']",Positive
52,2023-01-01,adriana61590726,"Indonesia semakin maju dengan kebijakan Pemerintahan Presiden  Ganjar   Ganjar Bapak Pembangunan Terbaik, Semoga Kalimantan Te #GanjarHebat",['GanjarHebat'],0,0,0,indonesia semakin maju dengan kebijakan pemerintahan presiden ganjar ganjar bapak pembangunan terbaik semoga kalimantan te,"['indonesia', 'maju', 'kebijakan', 'pemerintahan', 'presiden', 'ganjar', 'ganjar', 'pembangunan', 'terbaik', 'semoga', 'kalimantan', 'te']",Positive
54,2023-01-01,khalidkarim,"@theskola @Ramli95398676 @kamendir @mujaheeddd Aku dah tua
Kalau malas drive aku naik Grab atau public transport
Kat sini public transport tak bagus ...

Bila aku kat Madrid London mana2 pun aku naik bas.Jimat duit

Harap2 Malaysia pun akan gitu bila kau tua",,3,0,1,aku deh tua kalau malas drive aku naik grab atau public transport kat sini public transport tak bagus bila aku kat madrid london mana pun aku naik basjimat duit harap malaysia pun akan begitu bila kau tua,"['deh', 'tua', 'mala', 'drive', 'grab', 'public', 'transport', 'kat', 'public', 'transport', 'bagu', 'kat', 'madrid', 'london', 'basjimat', 'duit', 'harap', 'malaysia', 'kau', 'tua']",Neutral
55,2023-01-01,brown12_aaron,Kerja Nyata Presiden  Ganjar Dalam Membangun Infrastruktur di Sumatera Selatan!!  Kerja Keras Dan Bukti Nyata Kinerja Pak #GanjarPresidenku,['GanjarPresidenku'],0,0,0,kerja nyata presiden ganjar dalam membangun infrastruktur di sumatera selatan kerja keras dan bukti nyata kinerja pak,"['kerja', 'nyata', 'presiden', 'ganjar', 'membangun', 'infrastruktur', 'sumatera', 'selatan', 'kerja', 'kera', 'bukti', 'nyata', 'kinerja']",Positive
56,2023-01-01,aleyna_akl,Ganjar tak kalah keren mah pokoknya  Rakyat Indonesia sangat bangga punya presiden  Ganjar  https://t.co/rNeZxfEZCu #GanjarHebat,['GanjarHebat'],0,0,0,ganjar tak kalah keren mah pokoknya rakyat indonesia sangat bangga punya presiden ganjar,"['ganjar', 'kalah', 'keren', 'mah', 'pokoknya', 'rakyat', 'indonesia', 'bangga', 'presiden', 'ganjar']",Neutral
57,2023-01-01,koalatronix,Mantap Pemerintah Sekarang  Pemerintah Presiden  Ganjar banyak kebijakan yang menyejahterakan rakyat #GanjarPresidenku ht #GanjarPresidenku,"['GanjarPresidenku', 'GanjarPresidenku']",0,0,0,mantap pemerintah sekarang pemerintah presiden ganjar banyak kebijakan yang menyejahterakan rakyat hati,"['mantap', 'pemerintah', 'pemerintah', 'presiden', 'ganjar', 'kebijakan', 'menyejahterakan', 'rakyat', 'hati']",Positive
