,tweet,text_clean,text_preprocessed,sentiment
10,"So, Jakarta, ibukota negaraku jadi yang pertama kena musibah jamur berbahaya di #TheLastOfUs ? Hahahaha sepertinya memang sudah seharusnya",so jakarta ibukota negaraku jadi yang pertama kena musibah jamur berbahaya di   hahahaha sepertinya memang sudah seharusnya,"['sok', 'jakarta', 'ibukota', 'negaraku', 'jadi', 'yang', 'pertama', 'kena', 'musibah', 'jamur', 'berbahaya', 'di', 'hahahaha', 'sepertinya', 'memang', 'sudah', 'seharusnya']",Negative
11,@zarnaout45 Ikn utk ibukota China . Di daratan kan udah gak aman minus .mereka cari media baru,ikn utk ibukota china  di daratan kan udah gak aman minus mereka cari media baru,"['ikn', 'untuk', 'ibukota', 'china', 'di', 'daratan', 'kan', 'sudah', 'enggak', 'aman', 'minus', 'mereka', 'cari', 'media', 'baru']",Negative
12,"•Sebagai pusat pemerintahan (political capital). Contoh: Brasilia (ibukota Brasil), Washington DC (ibukota Amerika Serikat), Canberra (ibukota Australia)",sebagai pusat pemerintahan political capital contoh brasilia ibukota brasil washington dc ibukota amerika serikat canberra ibukota australia,"['sebagai', 'pusat', 'pemerintahan', 'political', 'capital', 'contoh', 'brasilia', 'ibukota', 'brasil', 'washington', 'dc', 'ibukota', 'amerika', 'serikat', 'canberra', 'ibukota', 'australia']",Neutral
13,"@Brutus04463720 @musniumar goblok,pemindahan ibukota sdh di rancang sejak jaman suharto",goblokpemindahan ibukota sdh di rancang sejak jaman suharto,"['goblokpemindahan', 'ibukota', 'sudah', 'di', 'rancang', 'sejak', 'jaman', 'suharto']",Neutral
14,"habistu cerita kalau dia pinter geografi, lalu kami tebak-tebakan ibukota negara. DIA BISA JAWAB SEMUAAAA !!!",habistu cerita kalau dia pinter geografi lalu kami tebaktebakan ibukota negara dia bisa jawab semuaaaa,"['habistu', 'cerita', 'kalau', 'dia', 'pintar', 'geografi', 'lalu', 'kami', 'tebaktebakan', 'ibukota', 'negara', 'dia', 'bisa', 'jawab', 'semua']",Negative
15,"@okino2x @TeddGus Dimana2 ibukota dr negara dulu yg dibenahi baru yg lain menyusul, kalo ibu gak sehat gimana anak2 nya bisa sehat",dimana ibukota dr negara dulu yg dibenahi baru yg lain menyusul kalo ibu gak sehat gimana anak nya bisa sehat,"['dimana', 'ibukota', 'dari', 'negara', 'dulu', 'yang', 'dibenahi', 'baru', 'yang', 'lain', 'menyusul', 'kalo', 'ibu', 'enggak', 'sehat', 'bagaimana', 'anak', 'nya', 'bisa', 'sehat']",Negative
16,"@anovicepro @barijoe ga kok om, di kota2 indonesia udah menjamur  konsep Coffee to go. di daerah Lokal2 malah bisa bersaing dgn brand franchise Ibukota",ga kok om di kota indonesia udah menjamur  konsep coffee to go di daerah lokal malah bisa bersaing dgn brand franchise ibukota,"['enggak', 'kok', 'om', 'di', 'kota', 'indonesia', 'sudah', 'menjamur', 'konsep', 'coffe', 'tapi', 'go', 'di', 'daerah', 'lokal', 'malah', 'bisa', 'bersaing', 'dengan', 'brand', 'franchise', 'ibukota']",Negative
17,@pelimati Tutorial menjadi warga ibukota☝☝,tutorial menjadi warga ibukota☝☝,"['tutorial', 'menjadi', 'warga', 'ibukota☝☝']",Neutral
18,"#kutipanmalam
saat kulihat cahaya-cahaya nusantara berpendaran mengelilingi lingkup ibukota, malam terasa begitu hening
Ia seakan hadir, hadirmu tampak nyata
walau kau tak ada disisi
~kekasih~",saat kulihat cahayacahaya nusantara berpendaran mengelilingi lingkup ibukota malam terasa begitu hening ia seakan hadir hadirmu tampak nyata walau kau tak ada disisi kekasih,"['saat', 'kulihat', 'cahayacahaya', 'nusantara', 'berpendaran', 'mengelilingi', 'lingkup', 'ibukota', 'malam', 'terasa', 'begitu', 'hening', 'ia', 'seakan', 'hadir', 'hadirmu', 'tampak', 'nyata', 'walau', 'kau', 'tak', 'ada', 'disisi', 'kekasih']",Negative
19,Salah satu kampanye paling mudah murah sekaligus mengena dibanyak hati ❤💞 haters @jokowi adalah pembatalan idea IKN dan pindah Ibukota Negara. Bodohnya orang2 yg memiliki idea pembatalan ini adalah mereka tidak menyadari ada Undang-Undang IKN dan mereka harus menang PEMILU dulu,salah satu kampanye paling mudah murah sekaligus mengena dibanyak hati ❤💞 haters  adalah pembatalan idea ikn dan pindah ibukota negara bodohnya orang yg memiliki idea pembatalan ini adalah mereka tidak menyadari ada undangundang ikn dan mereka harus menang pemilu dulu,"['salah', 'satu', 'kampanye', 'paling', 'mudah', 'murah', 'sekaligus', 'mengena', 'dibanyak', 'hati', '❤ revolvinghearts ', 'haters', 'adalah', 'pembatalan', 'idea', 'ikn', 'dan', 'pindah', 'ibukota', 'negara', 'bodohnya', 'orang', 'yang', 'memiliki', 'idea', 'pembatalan', 'ini', 'adalah', 'mereka', 'tidak', 'menyadari', 'ada', 'undangundang', 'ikn', 'dan', 'mereka', 'harus', 'menang', 'pemilu', 'dulu']",Negative
20,@mikaillajaaa @sleysfo lihatlah samuel yang bersinar di ibukota,lihatlah samuel yang bersinar di ibukota,"['lihatlah', 'samuel', 'yang', 'bersinar', 'di', 'ibukota']",Neutral
21,"Trem listrik beroperasi di Sarajevo (ibukota Bosnia - Herzegovina) sejak 1895, meskipun kota itu pernah dikepung lebih dari 1400 hari. Peristiwa yang dikenal dengan sebutan The Siege of Sarajevo itu merusak prasarana dan sarana trem. Tetapi semua bisa dipulihkan setelah perang https://t.co/x6HyEN5ebZ",trem listrik beroperasi di sarajevo ibukota bosnia  herzegovina sejak  meskipun kota itu pernah dikepung lebih dari  hari peristiwa yang dikenal dengan sebutan the siege of sarajevo itu merusak prasarana dan sarana trem tetapi semua bisa dipulihkan setelah perang,"['trem', 'listrik', 'beroperasi', 'di', 'sarajevo', 'ibukota', 'bosnia', 'herzegovina', 'sejak', 'meskipun', 'kota', 'itu', 'pernah', 'dikepung', 'lebih', 'dari', 'hari', 'peristiwa', 'yang', 'dikenal', 'dengan', 'sebutan', 'the', 'siege', 'of', 'sarajevo', 'itu', 'merusak', 'prasarana', 'dan', 'sarana', 'trem', 'tetapi', 'semua', 'bisa', 'dipulihkan', 'setelah', 'perang']",Positive
22,"Nama Kota Turikale Balum banyak yang tahu jika tu nama ibukota kabupaten Maros
https://t.co/mNwBcHVepW",nama kota turikale balum banyak yang tahu jika tu nama ibukota kabupaten maros,"['nama', 'kota', 'turikale', 'balum', 'banyak', 'yang', 'tahu', 'jika', 'itu', 'nama', 'ibukota', 'kabupaten', 'maros']",Neutral
23,"Georg von trapp is suchhhh a bad parent???? Bisa2nya istrinya mati dia malah kabur parti2 di ibukota sebulan penuh sama pacar baru, meanwhile ninggal 7 (tujuh) anaknya di desa, jan kebacut -_-",georg von trapp is suchhhh a bad parent bisanya istrinya mati dia malah kabur parti di ibukota sebulan penuh sama pacar baru meanwhile ninggal  tujuh anaknya di desa jan kebacut,"['georg', 'von', 'trap', 'is', 'such', 'a', 'bad', 'parent', 'bisanya', 'istrinya', 'mati', 'dia', 'malah', 'kabur', 'parti', 'di', 'ibukota', 'sebulan', 'penuh', 'sama', 'pacar', 'baru', 'meanwhile', 'ninggal', 'tujuh', 'anaknya', 'di', 'desa', 'jangan', 'kebacut']",Negative
24,#nowplaying Biarlah Ibukota Pindah Kalimantan - Nurie Melanie | join via stream klik --&gt; https://t.co/RLqVbkQ1fz https://t.co/2XboKMPKze,biarlah ibukota pindah kalimantan  nurie melanie  join via stream klik gt,"['biarlah', 'ibukota', 'pindah', 'kalimantan', 'nurie', 'melanie', 'join', 'via', 'stream', 'klik', 'begitu']",Neutral
25,"Yeay, tercapai ke salah satu lokasi yg pengen gue datengin buat ngopi, ngobrol ngalor ngidul, dengerin live music disela kesibukan kerja 🫶🏼

Makanan dan minuman harganya standar dan rasanya lumayan enak. Ya pokoknya berdua abis 200k, bisa liat sunset ibukota dan citylights gitu🤌🏼 https://t.co/RRNaVZQOCx",yeay tercapai ke salah satu lokasi yg pengen gue datengin buat ngopi ngobrol ngalor ngidul dengerin live music disela kesibukan kerja 🫶🏼  makanan dan minuman harganya standar dan rasanya lumayan enak ya pokoknya berdua abis k bisa liat sunset ibukota dan citylights gitu🤌🏼,"['yeay', 'tercapai', 'ke', 'salah', 'satu', 'lokasi', 'yang', 'pengin', 'gue', 'datengin', 'buat', 'ngopi', 'mengobrol', 'ngalor', 'ngidul', 'mendengarkan', 'live', 'music', 'disela', 'kesibukan', 'kerja', '\U0001faf6 medium-lightskintone ', 'makanan', 'dan', 'minuman', 'harganya', 'standar', 'dan', 'rasanya', 'lumayan', 'enak', 'ya', 'pokoknya', 'berdua', 'habis', 'ke', 'bisa', 'lihat', 'sunset', 'ibukota', 'dan', 'citylights', 'begitu pinchedfingersmedium-lightskintone ']",Positive
26,"@sindai_salie bagaimana mau pindahkan ibukota, bangun hambalang aja magkrak.. 😃😃",salie bagaimana mau pindahkan ibukota bangun hambalang aja magkrak 😃😃,"['salie', 'bagaimana', 'mau', 'pindahkan', 'ibukota', 'bangun', 'hambalang', 'saja', 'magkrak', ' grinningfacewithbigeyes  grinningfacewithbigeyes ']",Negative
27,"@JogjaUpdate Narimo ing ketimpangan,sibuk ngurusi budaya ben pangah istimewa ,tarif tempat wisata menyasar kaum ibukota,kawulane ngalah pekso rasah lungo2 mangan opo anane rasah ngarani mergo umr e ra nguati,opo meneh krungu rego lemah wis megap2 sek",narimo ing ketimpangansibuk ngurusi budaya ben pangah istimewa tarif tempat wisata menyasar kaum ibukotakawulane ngalah pekso rasah lungo mangan opo anane rasah ngarani mergo umr e ra nguatiopo meneh krungu rego lemah wis megap sek,"['narimo', 'ing', 'ketimpangansibuk', 'ngurusi', 'budaya', 'ben', 'pangah', 'istimewa', 'tarif', 'tempat', 'wisata', 'menyasar', 'kaum', 'ibukotakawulane', 'mengalah', 'pekso', 'rasah', 'lungo', 'mangan', 'opo', 'anane', 'rasah', 'ngarani', 'mergo', 'umr', 'e', 'ra', 'nguatiopo', 'meneh', 'krungu', 'rego', 'lemah', 'wis', 'megap', 'sek']",Negative
28,@lek_brewok Candi Hambalang juga gak bisa loe selesaikan...apalagi utk m'mindahkan Ibukota..🤔🤭😂🤣,brewok candi hambalang juga gak bisa loe selesaikanapalagi utk mmindahkan ibukota🤔🤭😂🤣,"['brewok', 'candi', 'hambalang', 'juga', 'enggak', 'bisa', 'lo', 'selesaikanapalagi', 'untuk', 'mmindahkan', 'ibukota thinkingface  facewithhandovermouth  facewithtearsofjoy  rollingonthefloorlaughing ']",Negative
29,@lavieenIune @blondsoleil Siap ngejelasin suara ikan kayak gimana sampe rekomendasi menu kopi kapitalisme di franchise Ibukota.,siap ngejelasin suara ikan kayak gimana sampe rekomendasi menu kopi kapitalisme di franchise ibukota,"['siap', 'ngejelasin', 'suara', 'ikan', 'kayak', 'bagaimana', 'sampai', 'rekomendasi', 'menu', 'kopi', 'kapitalisme', 'di', 'franchise', 'ibukota']",Negative
30,@benjychod Pardon me coz aku hanya org pulau yg ga akan bisa meraih orang ibukota,pardon me coz aku hanya org pulau yg ga akan bisa meraih orang ibukota,"['pardon', 'me', 'coz', 'aku', 'hanya', 'orang', 'pulau', 'yang', 'enggak', 'akan', 'bisa', 'meraih', 'orang', 'ibukota']",Negative
31,"Menuju ibukota sejenak, 160k unlimited coffee + free madang perjalanan fullsenyum https://t.co/CkEtqKcSxX",menuju ibukota sejenak k unlimited coffee  free madang perjalanan fullsenyum,"['menuju', 'ibukota', 'sejenak', 'ke', 'unlimited', 'coffe', 'fre', 'madang', 'perjalanan', 'fullsenyum']",Neutral
32,"@JohanaKriesta @worksfess dia kurang relate aja sama orang sini yamg berdesakan. selain ibukota overpopulated, udah gitu transportasi murah mangkanya bisa berdesakan. ojol itu meskipun deket kalo daerah macet + ujan pasti bisa 3 kali lipat dari harga biasa mangkanya peminat KRL atau busway banyak",dia kurang relate aja sama orang sini yamg berdesakan selain ibukota overpopulated udah gitu transportasi murah mangkanya bisa berdesakan ojol itu meskipun deket kalo daerah macet  ujan pasti bisa  kali lipat dari harga biasa mangkanya peminat krl atau busway banyak,"['dia', 'kurang', 'relate', 'saja', 'sama', 'orang', 'sini', 'yamg', 'berdesakan', 'selain', 'ibukota', 'overpopulated', 'sudah', 'begitu', 'transportasi', 'murah', 'mangkanya', 'bisa', 'berdesakan', 'ojol', 'itu', 'meskipun', 'dekat', 'kalo', 'daerah', 'macet', 'ujan', 'pasti', 'bisa', 'kali', 'lipat', 'dari', 'harga', 'biasa', 'mangkanya', 'peminat', 'krl', 'atau', 'busway', 'banyak']",Negative
33,@musniumar Pemindahan ibukota negara memang proyek besar. Hanya presiden hebat yg bisa mengeksekusi. Semua hal yg terkait tentu sudah dipikirkan dan dibuat skenarionya. Kalau tidak paham mestinya bertabayyun kepada mereka yg punya rencana (bisa ke Bappenas atau kepala otorita).,pemindahan ibukota negara memang proyek besar hanya presiden hebat yg bisa mengeksekusi semua hal yg terkait tentu sudah dipikirkan dan dibuat skenarionya kalau tidak paham mestinya bertabayyun kepada mereka yg punya rencana bisa ke bappenas atau kepala otorita,"['pemindahan', 'ibukota', 'negara', 'memang', 'proyek', 'besar', 'hanya', 'presiden', 'hebat', 'yang', 'bisa', 'mengeksekusi', 'semua', 'hal', 'yang', 'terkait', 'tentu', 'sudah', 'dipikirkan', 'dan', 'dibuat', 'skenarionya', 'kalau', 'tidak', 'paham', 'mestinya', 'bertabayyun', 'kepada', 'mereka', 'yang', 'punya', 'rencana', 'bisa', 'ke', 'bappenas', 'atau', 'kepala', 'otorita']",Negative
34,"@urcottoncandyy @worksfess Alasan aku yang besar di luar pulau jawa tak sanggup hidup di ibukota 🥲. Mode survival rebutan KRL, perjalanan jauh🤯. Semoga bahu teman-teman dikuatkan👍💪",alasan aku yang besar di luar pulau jawa tak sanggup hidup di ibukota 🥲 mode survival rebutan krl perjalanan jauh🤯 semoga bahu temanteman dikuatkan👍💪,"['alasan', 'aku', 'yang', 'besar', 'di', 'luar', 'pulau', 'jawa', 'tak', 'sanggup', 'hidup', 'di', 'ibukota', ' smilingfacewithtear ', 'mode', 'survival', 'rebutan', 'krl', 'perjalanan', 'jauh explodinghead ', 'semoga', 'bahu', 'temanteman', 'dikuatkan thumbsup  flexedbiceps ']",Positive
35,nyamannya melamun sambil liat kendaraan berlalu-lalang di Ibukota ☺,nyamannya melamun sambil liat kendaraan berlalulalang di ibukota ☺,"['nyamannya', 'melamun', 'sambil', 'lihat', 'kendaraan', 'berlalulalang', 'di', 'ibukota', '☺']",Neutral
36,"Sebagai orang non ibukota baru tau tiket keretanya semacam bayar toll, bukan yang beli tiket KA pada umumnya😂. Makasih kak sudah mewakilkan",sebagai orang non ibukota baru tau tiket keretanya semacam bayar toll bukan yang beli tiket ka pada umumnya😂 makasih kak sudah mewakilkan,"['sebagai', 'orang', 'non', 'ibukota', 'baru', 'tau', 'tiket', 'keretanya', 'semacam', 'bayar', 'tol', 'bukan', 'yang', 'beli', 'tiket', 'kak', 'pada', 'umumnya facewithtearsofjoy ', 'terima kasih', 'kak', 'sudah', 'mewakilkan']",Neutral
37,@tanyakanrl Daerah mana? Agak mahal soalnya token isi sendiri wkwkwk tp kalo di ibukota yay aja sih,daerah mana agak mahal soalnya token isi sendiri wkwkwk tp kalo di ibukota yay aja sih,"['daerah', 'mana', 'agak', 'mahal', 'soalnya', 'token', 'isi', 'sendiri', 'wkwkwk', 'tapi', 'kalo', 'di', 'ibukota', 'yay', 'saja', 'sih']",Negative
38,"Nait geng 
Sepi ibukota jam segini
Justru inilah suasana jalan yg byk orang2 
Impikan.
Setelahnya seharian penuh sesak dgn suara mesin kendaraan, klakson dan polusi
Istirahat kataku https://t.co/8JSWj7Q6cd",nait geng  sepi ibukota jam segini justru inilah suasana jalan yg byk orang  impikan setelahnya seharian penuh sesak dgn suara mesin kendaraan klakson dan polusi istirahat kataku,"['nait', 'geng', 'sepi', 'ibukota', 'jam', 'segini', 'justru', 'inilah', 'suasana', 'jalan', 'yang', 'banyak', 'orang', 'impikan', 'setelahnya', 'seharian', 'penuh', 'sesak', 'dengan', 'suara', 'mesin', 'kendaraan', 'klakson', 'dan', 'polusi', 'istirahat', 'kataku']",Negative
39,"Jangankan bangun Ibukota, bangun wisma atlet saja mangkrak menjadi candi Hambalang https://t.co/2aa4OYXUzy",jangankan bangun ibukota bangun wisma atlet saja mangkrak menjadi candi hambalang,"['jangankan', 'bangun', 'ibukota', 'bangun', 'wisma', 'atlet', 'saja', 'mangkrak', 'menjadi', 'candi', 'hambalang']",Negative
40,@OposisiCerdas Kok antusias banget ama kota tua. Itu ibukota penjajah yang berkolaborasi aman cukong2 cina 350 tahun menjajah INDONESIA. Bangsa yang aneh 🤣🤣🤣,kok antusias banget ama kota tua itu ibukota penjajah yang berkolaborasi aman cukong cina  tahun menjajah indonesia bangsa yang aneh 🤣🤣🤣,"['kok', 'antusias', 'banget', 'sama', 'kota', 'tua', 'itu', 'ibukota', 'penjajah', 'yang', 'berkolaborasi', 'aman', 'cukong', 'cina', 'tahun', 'menjajah', 'indonesia', 'bangsa', 'yang', 'aneh', ' rollingonthefloorlaughing  rollingonthefloorlaughing  rollingonthefloorlaughing ']",Negative
41,"Seperti bangunan2 zaman dulu di kota tua Jakarta, maupun di beberapa  ibukota Provinsi lainnya..jk di kota Medan ada kantor LonSum, Bank Indonesia, dan beberapa kota lainnya spt di Semarang.",seperti bangunan zaman dulu di kota tua jakarta maupun di beberapa  ibukota provinsi lainnyajk di kota medan ada kantor lonsum bank indonesia dan beberapa kota lainnya spt di semarang,"['seperti', 'bangunan', 'zaman', 'dulu', 'di', 'kota', 'tua', 'jakarta', 'maupun', 'di', 'beberapa', 'ibukota', 'provinsi', 'lainnyajk', 'di', 'kota', 'medan', 'ada', 'kantor', 'lonsum', 'bank', 'indonesia', 'dan', 'beberapa', 'kota', 'lainnya', 'seperti', 'di', 'semarang']",Neutral
42,"dibalik mataku, gemerlap ibukota yg konon diciptakan Tuhan saat tersenyum dan tentu senyumanmu menyambut kabut biru penghias purnama itu

memudar
tapi tak hilang
menjalar
tapi terpendam

dan kita hanya bertemu pada kiasan~",dibalik mataku gemerlap ibukota yg konon diciptakan tuhan saat tersenyum dan tentu senyumanmu menyambut kabut biru penghias purnama itu  memudar tapi tak hilang menjalar tapi terpendam  dan kita hanya bertemu pada kiasan,"['dibalik', 'mataku', 'gemerlap', 'ibukota', 'yang', 'konon', 'diciptakan', 'tuhan', 'saat', 'tersenyum', 'dan', 'tentu', 'senyumanmu', 'menyambut', 'kabut', 'biru', 'penghias', 'purnama', 'itu', 'memudar', 'tapi', 'tak', 'hilang', 'menjalar', 'tapi', 'terpendam', 'dan', 'kita', 'hanya', 'bertemu', 'pada', 'kiasan']",Negative
43,@BacotinBola @MafiaWasit Ttp milik ibukota selagi NB Masih megang saham terbesar.,ttp milik ibukota selagi nb masih megang saham terbesar,"['tetap', 'milik', 'ibukota', 'selagi', 'nb', 'masih', 'memegang', 'saham', 'terbesar']",Positive
44,"Gatel ingin berfellowship bersama alumni-alumni Alfamidi yang kini sudah tinggal di ibukota

Tapi nampaknya mereka sudah pada fokus dengan pelayanan mereka 🥺",gatel ingin berfellowship bersama alumnialumni alfamidi yang kini sudah tinggal di ibukota  tapi nampaknya mereka sudah pada fokus dengan pelayanan mereka 🥺,"['gatel', 'ingin', 'berfellowship', 'bersama', 'alumnialumni', 'alfamidi', 'yang', 'kini', 'sudah', 'tinggal', 'di', 'ibukota', 'tapi', 'nampaknya', 'mereka', 'sudah', 'pada', 'fokus', 'dengan', 'pelayanan', 'mereka', ' pleadingface ']",Negative
45,"Dengan menyebut presiden sbg firaun dlm sebuah acara, dan mengatakan dia adalah teman kakek mantan gubernur ibukota di acara yg lain, maka budayawan itu secara gak lgsg  mengatakan dukungan kpd siapa pada 2024.
Aku bersyukur sdh lebih dr 3 tahun gak pernah lagi lihat acaranya.",dengan menyebut presiden sbg firaun dlm sebuah acara dan mengatakan dia adalah teman kakek mantan gubernur ibukota di acara yg lain maka budayawan itu secara gak lgsg  mengatakan dukungan kpd siapa pada  aku bersyukur sdh lebih dr  tahun gak pernah lagi lihat acaranya,"['dengan', 'menyebut', 'presiden', 'sebagai', 'firaun', 'dalam', 'sebuah', 'acara', 'dan', 'mengatakan', 'dia', 'adalah', 'teman', 'kakek', 'mantan', 'gubernur', 'ibukota', 'di', 'acara', 'yang', 'lain', 'maka', 'budayawan', 'itu', 'secara', 'enggak', 'langsung', 'mengatakan', 'dukungan', 'kepada', 'siapa', 'pada', 'aku', 'bersyukur', 'sudah', 'lebih', 'dari', 'tahun', 'enggak', 'pernah', 'lagi', 'lihat', 'acaranya']",Neutral
46,@48timee Idol ibukota,idol ibukota,"['idol', 'ibukota']",Neutral
47,"Pengusaha Tuntut Rencana Konkret Bagi Jakarta Setelah Ibukota Pindah, Ayo Pemerintah Jawab! https://t.co/ipoYU6M2j2",pengusaha tuntut rencana konkret bagi jakarta setelah ibukota pindah ayo pemerintah jawab,"['pengusaha', 'tuntut', 'rencana', 'konkret', 'bagi', 'jakarta', 'setelah', 'ibukota', 'pindah', 'ayo', 'pemerintah', 'jawab']",Negative
48,"Hasil AS Roma vs Fiorentina: Dua Gol Dybala Bawa Serigala Ibukota Raih 3 Poin
https://t.co/OsVSRlGisc",hasil as roma vs fiorentina dua gol dybala bawa serigala ibukota raih  poin,"['hasil', 'as', 'roma', 'vs', 'fiorentina', 'dua', 'gol', 'dybala', 'bawa', 'serigala', 'ibukota', 'raih', 'poin']",Neutral
49,"@JulBayur3 Wan jembut kesel bang, lagi asyik2nye jadi gabener du ibukota negare, eh dibilang ibukotanye mau pindah. Ngenyek banget kan. Sakit ati 2x tuh. Jadi mentri udah dipecat, jadi gubernur ga dianggap. 🤣🤣🤣",wan jembut kesel bang lagi asyiknye jadi gabener du ibukota negare eh dibilang ibukotanye mau pindah ngenyek banget kan sakit ati x tuh jadi mentri udah dipecat jadi gubernur ga dianggap 🤣🤣🤣,"['wan', 'jembut', 'kesel', 'bang', 'lagi', 'asyiknye', 'jadi', 'gabener', 'du', 'ibukota', 'negare', 'eh', 'dibilang', 'ibukotanye', 'mau', 'pindah', 'ngenyek', 'banget', 'kan', 'sakit', 'ati', 'kali', 'tuh', 'jadi', 'mentri', 'sudah', 'dipecat', 'jadi', 'gubernur', 'enggak', 'dianggap', ' rollingonthefloorlaughing  rollingonthefloorlaughing  rollingonthefloorlaughing ']",Negative
